vendor_id,rate_code,passenger_count,trip_time_in_secs,trip_distance,payment_type,fare_amount
CMT,1,1,208,0.8,CRD,5
CMT,1,1,177,0.5,CSH,4
CMT,1,1,377,0.4,CSH,5.5
CMT,1,2,859,1.5,CRD,10.5
CMT,1,2,361,1.3,CRD,7
CMT,1,2,320,2.1,CSH,8
CMT,1,1,162,0.6,CSH,4
CMT,1,1,386,2.2,CRD,8.5
CMT,1,1,1461,1.4,CRD,14.5
CMT,1,1,289,0.5,CRD,5
CMT,1,1,95,0.3,CSH,3
CMT,1,1,2129,8.7,CRD,29.5
CMT,1,1,893,2.3,CSH,11.5
CMT,1,1,876,1,CRD,10
CMT,1,2,371,0.8,CRD,6
CMT,1,2,430,1.1,CSH,7
CMT,1,1,491,2.4,CRD,10
CMT,1,1,981,4.3,CRD,16
CMT,1,2,591,2,CSH,9.5
CMT,1,1,377,1.2,CSH,6.5
CMT,1,1,554,1.1,CRD,7.5
CMT,1,1,865,2.4,CRD,11.5
CMT,1,1,374,0.5,CRD,5
CMT,1,2,945,1.6,CRD,11
CMT,1,2,615,1.6,CSH,9
CMT,1,3,758,2.3,CRD,11
CMT,1,1,668,2.7,CRD,11
CMT,1,1,128,0.9,CRD,4.5
CMT,1,1,429,1,CSH,6.5
CMT,1,1,1023,4.5,CSH,16.5
CMT,1,1,1789,0,NOC,2.5
CMT,1,1,214,0.9,CSH,5.5
CMT,1,3,370,1.2,CSH,6.5
CMT,1,1,1055,3.8,CRD,15
CMT,1,2,593,1.9,CSH,9
CMT,1,2,681,2,CSH,10.5
CMT,1,1,665,2.4,CRD,10
CMT,2,2,2638,17.7,CSH,52
CMT,1,1,562,3.2,CRD,11
CMT,1,1,1005,1.6,CRD,11.5
CMT,1,1,373,0.9,CRD,6
CMT,1,1,587,1.6,CRD,8.5
CMT,1,1,682,1.5,CRD,9
CMT,1,1,380,1.2,CRD,7
CMT,1,1,248,0.6,CSH,4.5
CMT,1,1,878,3.4,CSH,13
CMT,1,1,271,0.5,CRD,5
CMT,1,1,307,0.7,CSH,5.5
CMT,1,1,303,0.9,CRD,5.5
CMT,1,1,397,1.4,CRD,7
CMT,1,1,1393,3.6,CRD,17
CMT,1,2,671,1.1,CSH,8.5
CMT,3,1,2528,18.1,CSH,71
CMT,1,1,249,0.8,CSH,5
CMT,1,1,378,1.2,CSH,6.5
CMT,1,1,666,1.6,CRD,9.5
CMT,1,2,553,1.5,CRD,8.5
CMT,1,1,966,1.8,CRD,11.5
CMT,1,1,850,3.6,CRD,13.5
CMT,1,1,369,1.1,CRD,6.5
CMT,1,2,1775,10.4,CRD,34
CMT,1,2,173,0.6,CSH,4
CMT,1,1,539,1.7,CRD,8.5
CMT,1,2,483,1.5,CRD,8
CMT,1,1,720,1.5,CRD,9.5
CMT,1,2,674,1.1,CSH,9
CMT,1,1,208,0.8,CRD,5
CMT,1,2,263,2.2,CSH,8
CMT,1,1,417,1.5,CRD,7.5
CMT,2,1,1218,17.3,CRD,52
CMT,1,1,1315,6.1,CSH,22
CMT,1,1,448,1.9,CRD,8.5
CMT,1,1,497,0.9,CSH,7
CMT,1,1,1151,3.8,CSH,15.5
CMT,1,1,815,1.6,CSH,10
CMT,1,1,599,1.6,CSH,8.5
CMT,1,1,516,2.1,CSH,9
CMT,1,1,1273,4.3,CRD,17
CMT,1,1,332,0.5,CRD,5.5
CMT,1,1,1524,5.2,CRD,20.5
CMT,1,1,670,1.2,CRD,8.5
CMT,1,1,816,1.4,CSH,10
CMT,1,3,822,1.1,CRD,10
CMT,1,1,180,0.3,CSH,4
CMT,1,2,462,1.5,CRD,7.5
CMT,1,1,65,0.2,CRD,3
CMT,1,1,1338,5.5,CRD,20.5
CMT,1,1,621,1.2,CRD,8.5
CMT,1,1,387,1,CSH,6.5
CMT,1,1,1029,3.1,CSH,14.5
CMT,1,3,537,1.5,CRD,8
CMT,1,1,764,2.3,CRD,11
CMT,1,2,510,1.3,CSH,7.5
CMT,1,2,805,2.2,CRD,11
CMT,1,1,1006,2,CSH,12
CMT,1,1,403,1.5,CSH,7.5
CMT,1,1,890,3.2,CRD,13
CMT,1,1,499,0.7,CRD,6.5
CMT,1,2,741,0.8,CSH,9
CMT,1,1,263,0.6,CSH,5
CMT,1,1,731,2,CRD,10.5
CMT,1,1,879,2.1,CRD,11.5
CMT,1,1,396,1.1,CRD,6.5
CMT,1,1,361,1.3,CSH,7
CMT,1,1,289,1.4,CSH,6.5
CMT,1,1,701,3.2,CRD,12
CMT,3,2,1369,16.6,CSH,62
CMT,1,1,272,0.7,CRD,5
CMT,1,1,886,2.3,CRD,11.5
CMT,1,1,1033,4.2,CSH,16
CMT,1,1,345,1.5,CRD,6.5
CMT,1,1,893,2.7,CSH,12
CMT,1,1,876,1.6,CSH,11
CMT,1,1,581,0.8,CRD,7.5
CMT,1,2,299,0.7,CSH,5
CMT,1,1,655,1.4,CSH,8.5
CMT,1,1,883,1.2,CSH,10.5
CMT,1,1,363,0.8,CRD,6
CMT,1,1,363,1,CRD,6
CMT,1,1,724,1.8,CSH,9.5
CMT,1,1,999,2.4,CRD,13
CMT,1,1,90,0.4,CSH,3.5
CMT,1,1,813,2.4,CRD,11.5
CMT,1,2,934,2.5,CSH,12.5
CMT,1,1,1006,2.8,CRD,13
CMT,1,1,368,0.8,CSH,6
CMT,1,1,1431,3.2,CRD,17
CMT,1,1,691,1.2,CSH,9
CMT,2,1,3633,18.7,CRD,52
CMT,1,1,867,4,CSH,14.5
CMT,1,2,446,0.8,CRD,6.5
CMT,1,2,304,1.1,CSH,6
CMT,1,1,217,0.8,CRD,5
CMT,1,2,1535,9.2,CRD,29.5
CMT,1,1,107,0.5,CSH,3.5
CMT,1,1,1102,5.2,CSH,19.5
CMT,1,1,395,0.5,CRD,5.5
CMT,1,1,229,0.7,CRD,5
CMT,1,1,1101,2.7,CRD,13.5
CMT,1,2,759,2.5,CSH,11
CMT,1,1,250,0.6,CSH,5
CMT,1,3,599,1.6,CSH,8.5
CMT,1,1,523,1.7,CRD,8.5
CMT,1,1,596,3,CSH,11
CMT,1,1,594,2.5,CRD,10
CMT,1,1,397,1,CSH,6.5
CMT,1,1,443,1,CRD,6.5
CMT,1,1,1164,3.8,CSH,16.5
CMT,1,1,511,1.4,CSH,8
CMT,1,2,638,2,CSH,10
CMT,1,2,1093,2.7,CRD,13.5
CMT,1,1,1504,5.3,CRD,20
CMT,1,2,1309,3.2,CSH,15.5
CMT,1,1,183,0.7,CSH,4.5
CMT,1,1,749,2.1,CRD,10.5
CMT,1,1,661,1,CRD,8.5
CMT,1,1,537,1.5,CRD,8
CMT,1,1,84,0.3,CSH,3
CMT,1,2,688,1.1,CRD,8.5
CMT,1,1,1054,3.5,CSH,14.5
CMT,1,2,549,1.7,CSH,8.5
CMT,1,1,193,0.5,CSH,4.5
CMT,1,1,689,1.5,CRD,9
CMT,1,1,369,0.7,CSH,5.5
CMT,1,1,495,1.3,CSH,7.5
CMT,1,1,581,1.1,CRD,8
CMT,1,1,329,1.3,CRD,6.5
CMT,1,1,147,0.5,CSH,4
CMT,1,3,686,1.5,CRD,9.5
CMT,1,1,493,2,CRD,9
CMT,1,1,1018,3.8,CRD,15.5
CMT,1,1,918,5.8,CRD,19.5
CMT,1,1,1667,2.7,CRD,18
CMT,1,1,396,0.5,CRD,6
CMT,1,1,801,4,CRD,14
CMT,1,3,362,1,CSH,6
CMT,1,1,733,1.5,CSH,9.5
CMT,1,1,153,0.7,CSH,4
CMT,1,2,188,0.9,CRD,5
CMT,1,1,167,0.3,CSH,4
CMT,1,2,198,1.2,CSH,5.5
CMT,1,2,137,0.3,CSH,3.5
CMT,1,1,443,0.9,CSH,6.5
CMT,2,1,2962,17,CRD,52
CMT,1,2,874,6.6,CRD,20.5
CMT,1,1,1147,4.4,CSH,17
CMT,1,2,577,1.5,CSH,8
CMT,1,1,566,0.8,CSH,7.5
CMT,1,1,648,0.8,CRD,8
CMT,1,1,1016,2.7,CSH,13
CMT,1,4,502,1.2,CSH,7
CMT,1,2,822,1.6,CSH,10
CMT,1,1,886,7.9,CSH,23.5
CMT,1,1,196,0.7,CSH,4.5
CMT,1,2,476,1.8,CRD,8.5
CMT,1,1,971,3.2,CRD,14
CMT,1,1,241,0.5,CSH,4.5
CMT,1,4,605,1.2,CRD,8.5
CMT,1,2,1034,3.2,CRD,13.5
CMT,1,1,794,1.5,CRD,9.5
CMT,1,2,198,0.5,CSH,4
CMT,1,1,959,1.4,CSH,11
CMT,1,1,331,1,CSH,5.5
CMT,1,2,374,1.2,CSH,6.5
CMT,1,1,390,1.1,CRD,6.5
CMT,1,1,333,0.6,CSH,5.5
CMT,1,1,443,1.2,CSH,7
CMT,1,1,991,2.4,CSH,12.5
CMT,1,1,1263,8.6,CSH,25.5
CMT,1,1,598,2,CSH,9
CMT,1,1,313,1,CRD,6
CMT,1,2,285,0.9,CSH,5.5
CMT,1,1,487,0.9,CSH,7
CMT,1,3,464,1.2,CSH,7
CMT,1,2,340,1.4,CSH,6.5
CMT,1,2,457,1.9,CSH,8.5
CMT,1,2,612,3.2,CRD,11.5
CMT,1,2,155,0.7,CSH,4.5
CMT,1,1,869,3.1,CRD,13
CMT,1,2,1117,2.2,CSH,13.5
CMT,1,1,234,0.8,CSH,5.5
CMT,1,1,471,2,CRD,8.5
CMT,1,1,483,1.2,CRD,7.5
CMT,1,1,570,1.1,CSH,7.5
CMT,1,1,826,2.6,CRD,12
CMT,1,1,670,0.5,CSH,6.5
CMT,1,1,852,1.9,CRD,11
CMT,1,1,2,0,NOC,2.5
CMT,1,2,646,1.6,CRD,9
CMT,1,1,180,0.9,CSH,5
CMT,1,1,655,2.6,CRD,11
CMT,1,2,404,1.3,CSH,7
CMT,1,1,264,0.5,CRD,5
CMT,1,1,1492,3.7,CRD,18
CMT,1,2,261,0.7,CSH,5
CMT,1,2,343,1.2,CSH,6
CMT,1,1,812,2,CRD,10.5
CMT,1,1,271,0.9,CSH,5.5
CMT,1,1,680,2,CSH,10
CMT,1,1,1645,1.7,CRD,17
CMT,1,1,497,1.4,CSH,8
CMT,1,1,169,0.8,CSH,4.5
CMT,1,1,689,1.7,CSH,9.5
CMT,1,1,828,2.1,CRD,11
CMT,1,1,1788,10.3,CSH,31.5
CMT,1,1,274,1.3,CSH,6.5
CMT,1,1,553,1.2,CRD,8
CMT,1,1,469,0.9,CRD,7
CMT,1,1,385,1.4,CRD,7.5
CMT,1,1,745,2.1,CSH,11
CMT,1,1,825,2.1,CRD,11
CMT,1,1,1815,7.2,CRD,27
CMT,1,2,524,1.5,CSH,8
CMT,1,2,1037,2.2,CRD,12.5
CMT,1,1,358,1.4,CSH,7
CMT,1,1,837,2,CSH,11.5
CMT,1,1,490,0.9,CSH,7
CMT,1,1,479,0.9,CSH,7
CMT,1,1,863,2.4,CRD,11.5
CMT,1,1,117,0.1,CSH,3.5
CMT,1,1,863,5.7,CRD,18.5
CMT,1,1,294,1,CRD,6
CMT,1,1,505,1.6,CSH,8
CMT,1,1,282,0.7,CRD,5
CMT,1,1,494,1.2,CSH,7.5
CMT,1,3,453,1.7,CSH,8
CMT,1,1,992,2.4,CRD,12.5
CMT,1,1,1124,2.4,CRD,13.5
CMT,1,2,598,2.1,CSH,10
CMT,1,1,375,0.9,CRD,6.5
CMT,1,1,740,1.1,CSH,9
CMT,1,1,400,0.6,CRD,6
CMT,1,1,321,1.1,CRD,6
CMT,1,1,95,0.6,CSH,4
CMT,1,1,513,1.5,CSH,8
CMT,1,1,477,1.4,CSH,7.5
CMT,1,1,725,1.3,CSH,9
CMT,1,1,296,0.6,CRD,5
CMT,1,1,542,0.8,CRD,7
CMT,1,2,392,1.3,CRD,7
CMT,1,2,451,1,CRD,7
CMT,1,2,116,0.4,CSH,4
CMT,1,1,122,0.6,CSH,4
CMT,1,1,233,1.1,CSH,5.5
CMT,1,1,1231,6.5,CSH,22
CMT,1,1,594,1.7,CSH,8.5
CMT,1,1,827,2.4,CRD,11.5
CMT,1,2,461,1.2,CSH,7
CMT,1,2,883,1.5,CRD,10
CMT,1,1,290,0.8,CRD,5.5
CMT,1,1,695,2.3,CRD,10.5
CMT,1,1,643,0.9,CSH,8
CMT,1,1,1015,2.7,CRD,13
CMT,1,2,656,1.7,CRD,9
CMT,1,2,734,1.2,CRD,9
CMT,1,1,1187,3.9,CRD,15.5
CMT,1,2,332,1.2,CRD,6.5
CMT,1,2,435,1.3,CRD,7
CMT,1,2,202,0.3,CSH,4
CMT,1,1,302,1.2,CSH,6
CMT,1,1,252,1.2,CSH,6
CMT,1,2,597,2,CSH,9
CMT,1,1,566,1.9,CSH,9
CMT,1,1,553,2.2,CRD,9.5
CMT,1,1,350,1.2,CSH,6.5
CMT,1,1,955,2.5,CRD,12.5
CMT,1,1,961,2,CSH,11.5
CMT,1,1,592,1.3,CRD,8
CMT,1,1,301,0.7,CSH,5.5
CMT,1,1,376,2.2,CSH,8.5
CMT,1,1,670,1.6,CRD,9.5
CMT,1,1,220,0.9,CSH,5
CMT,1,1,273,0.7,CRD,5
CMT,1,2,651,0.9,CSH,8
CMT,1,2,397,1.1,CSH,7
CMT,1,1,397,1.2,CSH,7
CMT,1,1,564,2,CRD,9.5
CMT,1,1,515,0.9,CSH,7
CMT,1,1,535,1.7,CRD,8.5
CMT,1,2,491,1.2,CSH,7.5
CMT,1,2,1448,4,CSH,17.5
CMT,1,1,838,2.8,CRD,12
CMT,1,1,156,0.4,CSH,4
CMT,1,1,368,2.1,CRD,8
CMT,1,1,610,1.1,CRD,8
CMT,1,1,742,2.1,CSH,10.5
CMT,1,1,352,1.7,CSH,7.5
CMT,1,1,1090,4.4,CRD,16
CMT,1,1,530,1.8,CRD,8.5
CMT,1,2,621,1.6,CSH,8.5
CMT,1,1,1249,6.5,CSH,23
CMT,1,1,349,0.7,CRD,5.5
CMT,1,1,592,2.3,CSH,10
CMT,1,1,511,1.4,CSH,8
CMT,1,1,656,1.5,CRD,9
CMT,1,1,186,0.3,CRD,4
CMT,1,1,472,1.6,CSH,8
CMT,1,2,461,1.1,CRD,7
CMT,1,2,547,1.8,CSH,8.5
CMT,1,1,553,2,CSH,9
CMT,1,1,1467,4.8,CRD,19.5
CMT,1,1,564,1.8,CSH,9
CMT,1,1,720,1.3,CSH,9.5
CMT,1,1,673,1.4,CRD,9
CMT,2,1,3847,22.9,CRD,52
CMT,1,2,458,1.3,CSH,7
CMT,1,1,375,1.6,CRD,7.5
CMT,1,1,960,1.7,CRD,11.5
CMT,1,2,608,1.5,CRD,8.5
CMT,1,1,368,0.9,CSH,6
CMT,1,1,188,0.7,CSH,4.5
CMT,1,1,560,1.3,CSH,8
CMT,1,1,463,1.5,CSH,8
CMT,1,1,931,8.3,CRD,24
CMT,1,1,487,1.2,CRD,7.5
CMT,1,1,439,0.6,CSH,6
CMT,1,1,724,1.4,CSH,9
CMT,1,1,321,1,CRD,6
CMT,1,1,587,0.8,CSH,7.5
CMT,1,1,420,1.5,CRD,7
CMT,1,1,1108,4.6,CSH,18
CMT,1,1,1740,9.8,CRD,32.5
CMT,1,1,113,0.4,CSH,3.5
CMT,1,2,618,1.3,CRD,8.5
CMT,1,1,331,1.2,CSH,6.5
CMT,1,1,489,1,CRD,7
CMT,1,1,99,0.4,CSH,3.5
CMT,1,1,419,1.1,CSH,7
CMT,1,2,367,1.5,CSH,7
CMT,1,1,686,2.5,CRD,10.5
CMT,1,1,234,0.5,CSH,4.5
CMT,1,1,985,5.8,CRD,19.5
CMT,1,1,418,1.4,CRD,7.5
CMT,1,1,775,1.4,CSH,9.5
CMT,1,1,1161,1.4,CRD,12.5
CMT,1,2,491,1.1,CSH,7.5
CMT,1,1,340,0.9,CSH,6
CMT,1,1,315,1,CRD,6
CMT,1,1,756,2.4,CRD,11
CMT,1,2,353,1.3,CRD,6.5
CMT,1,3,223,0.3,CSH,4.5
CMT,1,1,320,1.1,CSH,6.5
CMT,1,1,437,1,CRD,6.5
CMT,1,1,609,1.5,CRD,8.5
CMT,1,1,726,1.8,CRD,9.5
CMT,1,1,758,1.8,CRD,10
CMT,1,1,586,1,CSH,8
CMT,1,1,608,2.1,CRD,9.5
CMT,1,1,728,3.5,CRD,12.5
CMT,1,1,592,2.6,CSH,10.5
CMT,1,1,965,2.4,CRD,12.5
CMT,1,4,794,2.3,CSH,10.5
CMT,1,4,1034,2.7,CSH,13
CMT,1,2,1086,2.8,CSH,13.5
CMT,1,2,1277,3.3,CSH,15.5
CMT,1,1,261,1.1,CRD,5.5
CMT,1,2,544,1.1,CSH,7.5
CMT,1,1,413,1.5,CSH,7
CMT,1,1,628,1.8,CRD,9.5
CMT,1,1,55,0.2,CSH,3
CMT,1,1,496,1.7,CSH,8.5
CMT,1,2,1279,4.3,CSH,17.5
CMT,1,2,516,1.6,CSH,8
CMT,1,2,339,0.8,CRD,5.5
CMT,1,2,609,3.4,CRD,12
CMT,1,1,922,2.9,CRD,12.5
CMT,1,1,131,0.6,CRD,4
CMT,1,1,681,1.4,CRD,9.5
CMT,1,1,478,0.7,CSH,7
CMT,1,1,959,2.9,CRD,13
CMT,1,1,169,1.1,CSH,5
CMT,1,1,845,1.9,CRD,10
CMT,1,1,197,0.7,CRD,4
CMT,1,1,187,1.1,CRD,5
CMT,1,1,988,1.8,CRD,12
CMT,1,1,831,1.3,CRD,10
CMT,1,2,732,1.7,CSH,9.5
CMT,1,1,145,0.9,CSH,4.5
CMT,1,1,457,1.3,CSH,7
CMT,1,2,89,0.6,CSH,4
CMT,1,1,731,2.2,CRD,10.5
CMT,1,1,413,2.6,CRD,9.5
CMT,1,3,143,0.5,CSH,4
CMT,1,3,1128,2.6,CSH,14
CMT,1,1,529,1.3,CSH,7.5
CMT,1,1,134,0.6,CSH,4
CMT,1,1,1024,1,CRD,11.5
CMT,1,2,219,0.6,CSH,4.5
CMT,1,1,1141,7.5,CRD,24
CMT,1,1,1512,9.3,CRD,29.5
CMT,1,2,738,1.5,CRD,9.5
CMT,1,1,1396,3.9,CSH,17.5
CMT,1,1,1102,2.3,CRD,13.5
CMT,1,4,649,2.8,CSH,10.5
CMT,1,1,349,0.9,CSH,6
CMT,1,1,673,0.8,CSH,8
CMT,1,1,911,2.8,CSH,13
CMT,1,1,310,1.1,CRD,6
CMT,1,1,533,1.1,CRD,7.5
CMT,1,1,232,0.7,CSH,5
CMT,1,1,89,0.5,CRD,3.5
CMT,1,2,707,1.9,CSH,10
CMT,1,3,354,0.7,CSH,6
CMT,1,2,477,0.8,CSH,6.5
CMT,1,3,745,2.9,CSH,11.5
CMT,1,2,1799,11.1,CSH,35
CMT,1,1,267,0.9,CSH,5.5
CMT,1,2,836,2.3,CSH,11.5
CMT,1,2,871,2.5,CRD,12
CMT,1,2,545,1.4,CRD,8
CMT,1,1,1430,3.8,CRD,17.5
CMT,1,1,230,0.6,CSH,5
CMT,1,1,346,1.1,CSH,6.5
CMT,1,1,426,0.9,CRD,6.5
CMT,1,1,257,0.7,CSH,5
CMT,1,1,1167,1.6,CSH,13
CMT,1,1,681,2.7,CSH,11
CMT,1,1,1412,10.6,CRD,32.5
CMT,1,1,689,3.1,CRD,12
CMT,1,1,644,2.6,CSH,11
CMT,1,1,526,1.1,CSH,7.5
CMT,1,1,550,1.1,CRD,8
CMT,1,2,782,2.8,CSH,11.5
CMT,1,1,219,1.3,CSH,6
CMT,1,1,633,2.6,CSH,11
CMT,1,1,1282,2.5,CRD,15
CMT,1,2,1020,2.7,CRD,13
CMT,1,1,541,2.2,CSH,9.5
CMT,1,1,1106,8.4,CRD,25
CMT,1,1,566,2.1,CRD,9.5
CMT,1,2,443,1.3,CSH,7
CMT,1,1,172,0.6,CSH,4.5
CMT,1,1,300,1.3,CRD,6.5
CMT,1,1,604,2.5,CRD,10
CMT,1,1,339,1.4,CSH,7
CMT,1,1,487,0.8,CSH,7
CMT,1,1,1510,7.8,CSH,26.5
CMT,1,1,449,1.6,CSH,7.5
CMT,1,1,805,1.5,CSH,10
CMT,1,1,299,1.9,CSH,7
CMT,1,4,594,2.4,CSH,10
CMT,1,2,668,2.7,CSH,11.5
CMT,1,1,194,0.5,CSH,4
CMT,1,2,411,1.9,CSH,8
CMT,1,1,931,2.3,CRD,12
CMT,1,1,157,0.5,CSH,4
CMT,1,1,283,1,CSH,5.5
CMT,1,1,664,1.5,CSH,9.5
CMT,1,1,1340,2.7,CSH,15.5
CMT,1,1,435,1.2,CRD,7
CMT,1,1,1435,2.2,CRD,15.5
CMT,1,1,114,0.4,DIS,3.5
CMT,1,1,33,0,DIS,2.5
CMT,1,1,473,2.3,CSH,9
CMT,1,1,215,0.7,CSH,5
CMT,1,1,272,1.2,CRD,6
CMT,1,1,302,0.9,CSH,5.5
