#@ TextLoader{
#@   header+
#@   sep=tab
#@   col=Label:R4:0
#@   col=Workclass:TX:1
#@   col=Categories:TX:2-8
#@   col=NumericFeatures:R4:9-14
#@ }
Label	Workclass	education	marital-status	occupation	relationship	ethnicity	sex	native-country-region	age	fnlwgt	education-num	capital-gain	capital-loss	hours-per-week
0	Local-gov	HS-grad	Divorced	Adm-clerical	Not-in-family	White	Female	United-States	47	171807	9	0	0	40
0	Private	Bachelors	Never-married	Other-service	Not-in-family	White	Female	?	41	109912	13	0	0	40
1	Self-emp-inc	Assoc-acdm	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	41	445382	12	15024	0	60
0	Private	Some-college	Never-married	Other-service	Own-child	White	Male	United-States	19	105460	10	0	0	20
0	Private	HS-grad	Separated	Transport-moving	Not-in-family	White	Male	United-States	46	170338	9	0	0	40
0	Private	HS-grad	Married-civ-spouse	Sales	Husband	White	Male	United-States	43	102606	9	0	0	48
1	Private	Some-college	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	55	323887	10	15024	0	45
0	Private	Assoc-voc	Married-civ-spouse	Tech-support	Husband	White	Male	United-States	46	175622	11	0	0	40
0	Private	HS-grad	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	Mexico	30	229636	9	0	0	40
0	Private	Some-college	Separated	Handlers-cleaners	Not-in-family	White	Female	United-States	21	388946	10	0	0	40
0	Private	Some-college	Married-civ-spouse	Craft-repair	Husband	Other	Male	Dominican-Republic	46	269034	10	0	0	40
0	?	10th	Never-married	?	Own-child	White	Male	United-States	17	165361	6	0	0	40
0	Private	HS-grad	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	United-States	41	75012	9	0	0	50
0	Self-emp-inc	HS-grad	Married-civ-spouse	Sales	Husband	White	Male	United-States	69	174379	9	0	0	30
0	Private	HS-grad	Married-civ-spouse	Transport-moving	Husband	White	Male	United-States	50	312477	9	0	0	40
0	Private	Some-college	Never-married	Adm-clerical	Not-in-family	White	Female	United-States	20	72055	10	0	0	40
0	Self-emp-inc	Some-college	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	United-States	45	67001	10	0	0	50
0	Private	Bachelors	Never-married	Exec-managerial	Not-in-family	White	Male	United-States	23	213734	13	0	0	40
0	Private	Some-college	Separated	Other-service	Not-in-family	White	Male	United-States	24	83141	10	0	1876	40
1	Self-emp-inc	HS-grad	Married-civ-spouse	Craft-repair	Husband	White	Male	?	44	223881	9	99999	0	50
0	Self-emp-not-inc	Some-college	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	31	113752	10	0	0	50
0	Private	HS-grad	Separated	Machine-op-inspct	Not-in-family	White	Female	United-States	43	170482	9	0	0	44
0	Federal-gov	11th	Never-married	Other-service	Own-child	White	Female	United-States	20	244689	7	0	0	10
1	Private	HS-grad	Married-civ-spouse	Sales	Husband	White	Male	United-States	55	160631	9	0	0	56
0	Federal-gov	Some-college	Never-married	Armed-Forces	Not-in-family	White	Male	United-States	24	228724	10	0	0	40
1	?	Masters	Married-civ-spouse	?	Wife	White	Female	United-States	41	38434	14	7688	0	10
0	Private	Bachelors	Never-married	Exec-managerial	Not-in-family	White	Female	United-States	59	292946	13	0	0	25
0	Federal-gov	7th-8th	Never-married	Other-service	Not-in-family	Black	Male	United-States	49	77443	4	0	0	20
1	Private	Masters	Married-civ-spouse	Prof-specialty	Wife	White	Female	United-States	33	176410	14	5178	0	10
0	Federal-gov	Bachelors	Divorced	Adm-clerical	Not-in-family	White	Male	United-States	59	98984	13	0	0	40
0	Private	Masters	Never-married	Other-service	Not-in-family	Amer-Indian-Inuit	Male	United-States	34	198751	14	0	0	40
0	Private	HS-grad	Never-married	Handlers-cleaners	Own-child	White	Male	United-States	20	479296	9	0	0	40
0	Private	Bachelors	Never-married	Exec-managerial	Own-child	White	Female	United-States	25	235218	13	0	0	40
0	Private	10th	Married-civ-spouse	Farming-fishing	Husband	White	Male	United-States	49	164877	6	0	0	40
1	Private	HS-grad	Married-civ-spouse	Transport-moving	Husband	White	Male	United-States	59	272087	9	0	0	40
0	Private	HS-grad	Never-married	Adm-clerical	Not-in-family	White	Female	United-States	20	169699	9	0	0	40
0	?	Some-college	Married-civ-spouse	?	Wife	White	Female	United-States	51	189762	10	0	0	18
0	Private	Some-college	Never-married	Adm-clerical	Unmarried	Black	Female	United-States	33	202191	10	0	0	35
0	Private	Some-college	Never-married	Transport-moving	Own-child	Black	Male	United-States	22	212261	10	0	0	39
0	Self-emp-not-inc	9th	Widowed	Other-service	Not-in-family	White	Female	United-States	58	301568	5	0	0	40
0	Local-gov	HS-grad	Widowed	Adm-clerical	Unmarried	White	Female	United-States	52	155233	9	0	0	28
0	Private	10th	Separated	Machine-op-inspct	Not-in-family	White	Female	United-States	36	75826	6	0	0	40
0	Local-gov	HS-grad	Married-civ-spouse	Protective-serv	Husband	White	Male	United-States	41	201520	9	0	0	40
0	Private	HS-grad	Never-married	Transport-moving	Own-child	White	Male	United-States	28	154236	9	2597	0	40
0	Private	Some-college	Never-married	Handlers-cleaners	Own-child	Black	Male	United-States	19	289227	10	0	0	16
0	Private	HS-grad	Never-married	Other-service	Not-in-family	White	Female	United-States	18	217439	9	0	0	28
0	Private	HS-grad	Never-married	Machine-op-inspct	Own-child	White	Female	United-States	18	179020	9	0	0	48
0	Private	Some-college	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	28	149624	10	0	0	40
1	Private	Assoc-voc	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	29	337266	11	0	0	40
0	?	HS-grad	Never-married	?	Own-child	White	Female	United-States	20	30796	9	0	0	20
0	Private	Some-college	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	United-States	40	103541	10	0	0	40
0	Private	HS-grad	Never-married	Handlers-cleaners	Unmarried	White	Male	United-States	26	206721	9	0	0	40
0	Private	HS-grad	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	46	96773	9	0	0	40
0	Private	11th	Never-married	Other-service	Not-in-family	White	Female	United-States	23	200967	7	0	0	24
0	Private	HS-grad	Married-spouse-absent	Adm-clerical	Unmarried	White	Female	United-States	44	180019	9	0	0	40
1	Private	Bachelors	Divorced	Sales	Unmarried	White	Female	United-States	43	179866	13	0	0	40
0	Local-gov	Bachelors	Divorced	Prof-specialty	Unmarried	White	Female	United-States	31	198770	13	0	0	60
0	Private	Some-college	Never-married	Sales	Own-child	White	Female	United-States	18	219256	10	0	0	25
0	Private	Some-college	Never-married	Protective-serv	Own-child	White	Male	United-States	19	248730	10	0	0	30
0	Private	Some-college	Divorced	Tech-support	Not-in-family	White	Female	United-States	41	110732	10	0	0	40
0	Private	HS-grad	Divorced	Handlers-cleaners	Unmarried	White	Female	United-States	41	181020	9	0	0	40
0	Private	HS-grad	Divorced	Adm-clerical	Not-in-family	White	Female	United-States	69	183791	9	0	0	25
1	Federal-gov	Doctorate	Married-civ-spouse	Prof-specialty	Wife	White	Female	United-States	48	42972	16	0	0	40
0	Private	HS-grad	Never-married	Prof-specialty	Own-child	White	Male	United-States	28	134813	9	0	0	40
1	Self-emp-not-inc	HS-grad	Married-civ-spouse	Craft-repair	Husband	White	Male	Ireland	27	115438	9	0	0	60
1	Private	Masters	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	41	239296	14	0	2415	50
0	Private	Some-college	Married-civ-spouse	Adm-clerical	Husband	White	Male	United-States	41	428420	10	0	0	40
0	Private	HS-grad	Never-married	Craft-repair	Unmarried	Black	Female	United-States	24	247846	9	0	0	40
0	?	HS-grad	Never-married	?	Not-in-family	White	Female	United-States	20	334105	9	0	0	40
1	Self-emp-inc	Doctorate	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	42	100793	16	0	0	41
0	Private	HS-grad	Married-civ-spouse	Craft-repair	Husband	Black	Male	United-States	57	244478	9	0	0	48
0	Private	Assoc-acdm	Never-married	Prof-specialty	Not-in-family	White	Female	United-States	30	142921	12	0	0	40
1	Private	HS-grad	Married-civ-spouse	Sales	Husband	White	Male	United-States	36	182863	9	0	0	60
0	Private	7th-8th	Married-civ-spouse	Machine-op-inspct	Husband	Black	Male	United-States	49	171128	4	0	0	40
0	Private	HS-grad	Married-civ-spouse	Machine-op-inspct	Wife	White	Female	United-States	33	145402	9	0	0	35
0	Private	10th	Married-civ-spouse	Farming-fishing	Husband	White	Male	United-States	23	306309	6	0	0	40
0	Private	Masters	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	46	83822	14	0	0	40
0	Private	Some-college	Never-married	Adm-clerical	Own-child	Asian-Pac-Islander	Female	Germany	18	262118	10	0	0	22
1	Private	HS-grad	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	40	155972	9	7688	0	55
1	Self-emp-inc	HS-grad	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	43	214503	9	0	1887	45
0	Private	Masters	Never-married	Prof-specialty	Own-child	White	Female	United-States	34	159303	14	0	0	30
0	Self-emp-not-inc	HS-grad	Widowed	Exec-managerial	Not-in-family	White	Female	United-States	47	174995	9	0	0	30
0	Private	Assoc-voc	Widowed	Exec-managerial	Unmarried	White	Female	United-States	44	26669	11	0	0	30
1	Private	HS-grad	Married-civ-spouse	Sales	Husband	White	Male	United-States	33	177727	9	0	0	40
1	Private	Bachelors	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	55	124771	13	15024	0	50
0	Private	HS-grad	Never-married	Sales	Not-in-family	White	Male	United-States	19	456736	9	2907	0	30
0	Private	Some-college	Never-married	Other-service	Not-in-family	Black	Male	United-States	28	216604	10	0	0	14
0	Private	11th	Married-civ-spouse	Other-service	Wife	Black	Female	United-States	27	221561	7	0	0	32
0	Private	7th-8th	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	United-States	50	114564	4	0	0	20
0	Private	11th	Never-married	Craft-repair	Unmarried	White	Male	United-States	22	315476	7	0	0	40
1	State-gov	Bachelors	Married-civ-spouse	Adm-clerical	Husband	White	Male	United-States	40	67874	13	0	1887	45
0	Private	Some-college	Never-married	Adm-clerical	Own-child	White	Female	United-States	25	126110	10	0	0	40
0	Local-gov	HS-grad	Never-married	Craft-repair	Not-in-family	White	Male	United-States	26	102264	9	0	0	40
0	Private	Bachelors	Never-married	Sales	Not-in-family	White	Male	United-States	22	537222	13	0	0	25
0	Private	Some-college	Never-married	Handlers-cleaners	Unmarried	Black	Female	United-States	42	113732	10	0	625	40
0	Self-emp-inc	Bachelors	Divorced	Exec-managerial	Not-in-family	White	Male	United-States	38	93225	13	0	0	40
0	Private	11th	Married-civ-spouse	Other-service	Husband	White	Male	United-States	55	43064	7	0	0	30
0	Private	HS-grad	Married-civ-spouse	Sales	Husband	White	Male	United-States	32	136921	9	0	0	40
0	Private	HS-grad	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	22	388885	9	0	0	45
0	Private	Bachelors	Never-married	Sales	Own-child	White	Male	United-States	29	142249	13	0	0	40
1	State-gov	Masters	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	46	56841	14	0	0	45
1	Private	Some-college	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	31	156493	10	0	0	40
1	Self-emp-not-inc	Doctorate	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	58	159021	16	0	0	16
0	Private	HS-grad	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	42	190910	9	0	0	45
0	Private	HS-grad	Never-married	Handlers-cleaners	Unmarried	White	Male	United-States	18	41879	9	0	0	25
0	Local-gov	HS-grad	Divorced	Exec-managerial	Not-in-family	White	Male	United-States	58	137249	9	0	0	33
1	Private	HS-grad	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	54	236157	9	0	1887	40
0	Private	Masters	Never-married	Prof-specialty	Not-in-family	White	Male	United-States	34	189759	14	0	0	40
0	Private	Bachelors	Never-married	Adm-clerical	Not-in-family	White	Female	United-States	26	239877	13	0	0	40
0	Private	12th	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	61	21175	8	0	0	60
0	Local-gov	Masters	Separated	Adm-clerical	Unmarried	Black	Female	United-States	48	67229	14	0	0	40
1	Private	Some-college	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	36	236391	10	0	0	45
0	Private	Assoc-voc	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	United-States	24	325596	11	0	0	45
0	Private	Some-college	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	United-States	40	83411	10	0	0	37
1	Self-emp-inc	HS-grad	Married-civ-spouse	Sales	Husband	White	Male	United-States	33	154227	9	0	0	50
1	Private	Some-college	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	United-States	37	248010	10	0	1887	40
0	Private	Masters	Never-married	Exec-managerial	Own-child	White	Male	United-States	34	198613	14	4650	0	40
1	Self-emp-inc	Some-college	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	56	321529	10	15024	0	40
1	?	HS-grad	Married-civ-spouse	?	Own-child	White	Female	United-States	28	168524	9	0	0	38
0	Private	Bachelors	Widowed	Exec-managerial	Not-in-family	White	Female	United-States	37	203079	13	0	0	55
0	Private	HS-grad	Divorced	Sales	Unmarried	Black	Female	United-States	44	284652	9	0	0	40
0	?	Some-college	Married-civ-spouse	?	Husband	White	Male	United-States	64	201368	10	0	0	8
0	Private	HS-grad	Divorced	Handlers-cleaners	Not-in-family	White	Male	United-States	54	59840	9	0	0	45
0	Private	HS-grad	Never-married	Machine-op-inspct	Not-in-family	White	Male	United-States	23	52753	9	0	0	50
0	State-gov	Bachelors	Married-spouse-absent	Farming-fishing	Not-in-family	Black	Male	?	34	513100	13	0	0	40
0	Private	HS-grad	Never-married	Other-service	Not-in-family	White	Female	United-States	22	199266	9	0	0	45
1	Private	Bachelors	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	33	196385	13	0	1977	40
1	Private	Bachelors	Separated	Prof-specialty	Not-in-family	White	Male	United-States	39	163205	13	0	0	50
0	Private	Some-college	Divorced	Adm-clerical	Not-in-family	Black	Female	United-States	47	411047	10	0	0	37
0	?	7th-8th	Widowed	?	Not-in-family	White	Male	United-States	79	48574	4	0	0	40
0	Private	HS-grad	Never-married	Prof-specialty	Unmarried	Black	Female	United-States	26	209440	9	0	0	55
0	Private	Some-college	Divorced	Exec-managerial	Unmarried	White	Female	United-States	31	56964	10	0	0	40
0	Private	Some-college	Never-married	Transport-moving	Not-in-family	White	Male	United-States	44	299197	10	0	0	45
1	Self-emp-inc	Prof-school	Married-civ-spouse	Prof-specialty	Wife	White	Female	United-States	42	240628	15	0	0	50
0	Private	HS-grad	Never-married	Machine-op-inspct	Not-in-family	White	Female	United-States	19	355313	9	0	0	40
1	Private	HS-grad	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	United-States	27	132267	9	0	0	40
1	Local-gov	Some-college	Married-civ-spouse	Protective-serv	Husband	White	Male	United-States	51	174861	10	0	0	40
0	Self-emp-inc	Bachelors	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	28	142443	13	0	0	50
0	Private	Bachelors	Divorced	Craft-repair	Not-in-family	White	Male	United-States	57	26716	13	0	0	45
0	Local-gov	Bachelors	Divorced	Prof-specialty	Unmarried	White	Female	United-States	45	185588	13	0	0	40
1	Private	Assoc-voc	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	50	175029	11	0	0	40
0	Self-emp-inc	Bachelors	Married-civ-spouse	Sales	Husband	White	Male	United-States	34	34848	13	0	0	54
0	Private	7th-8th	Married-civ-spouse	Craft-repair	Husband	Black	Male	United-States	45	411273	4	0	0	40
0	Local-gov	HS-grad	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	73	143437	9	0	0	20
1	Private	Bachelors	Married-civ-spouse	Prof-specialty	Wife	White	Female	United-States	34	357145	13	0	0	50
1	Private	Some-college	Married-civ-spouse	Sales	Husband	White	Male	United-States	31	236861	10	0	0	55
0	Private	11th	Never-married	Sales	Not-in-family	White	Male	United-States	19	53355	7	0	0	12
0	Private	Some-college	Never-married	Other-service	Own-child	White	Female	United-States	25	29106	10	0	0	50
0	Federal-gov	Assoc-voc	Divorced	Craft-repair	Unmarried	White	Female	United-States	38	213274	11	6497	0	40
0	Private	Bachelors	Married-civ-spouse	Transport-moving	Husband	White	Male	United-States	39	22463	13	0	0	40
0	Private	Bachelors	Never-married	Tech-support	Own-child	Black	Female	United-States	23	180497	13	0	0	32
0	Private	HS-grad	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	United-States	49	37306	9	0	0	40
0	Federal-gov	HS-grad	Never-married	Other-service	Not-in-family	White	Male	United-States	33	137814	9	0	0	32
0	Private	5th-6th	Never-married	Machine-op-inspct	Other-relative	White	Male	Mexico	21	447488	3	0	0	38
0	Private	Assoc-voc	Separated	Craft-repair	Not-in-family	White	Male	United-States	31	220915	11	0	0	40
0	Private	Bachelors	Never-married	Exec-managerial	Not-in-family	White	Female	United-States	23	42251	13	0	0	45
0	Private	Bachelors	Married-civ-spouse	Adm-clerical	Husband	Asian-Pac-Islander	Male	Philippines	34	162312	13	0	0	40
0	Private	HS-grad	Never-married	Machine-op-inspct	Not-in-family	Asian-Pac-Islander	Female	Philippines	25	77698	9	0	0	40
0	Private	HS-grad	Never-married	Craft-repair	Unmarried	White	Male	United-States	39	282951	9	0	0	40
1	Self-emp-inc	HS-grad	Married-civ-spouse	Sales	Husband	White	Male	United-States	52	311259	9	0	0	40
1	Local-gov	9th	Married-civ-spouse	Transport-moving	Husband	White	Male	United-States	63	65479	5	7688	0	40
0	Private	Some-college	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	41	277256	10	0	0	40
1	Private	Bachelors	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	46	312088	13	15024	0	38
0	Local-gov	HS-grad	Married-civ-spouse	Exec-managerial	Husband	White	Male	United-States	53	169719	9	0	0	40
0	?	9th	Separated	?	Not-in-family	White	Female	United-States	25	270276	5	1055	0	40
0	?	Some-college	Married-civ-spouse	?	Husband	White	Male	United-States	77	172744	10	0	0	35
0	Private	12th	Never-married	Priv-house-serv	Own-child	White	Male	United-States	18	96869	8	0	0	40
0	Private	Prof-school	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	38	237943	15	0	0	50
0	Private	Masters	Never-married	Exec-managerial	Unmarried	Asian-Pac-Islander	Female	Thailand	55	119751	14	0	0	50
1	Private	HS-grad	Married-civ-spouse	Tech-support	Husband	White	Male	United-States	34	236861	9	0	0	40
0	Self-emp-not-inc	HS-grad	Married-civ-spouse	Other-service	Husband	White	Male	United-States	80	201092	9	0	0	30
0	Private	Assoc-voc	Divorced	Tech-support	Unmarried	White	Female	United-States	34	147215	11	0	0	60
0	Private	Some-college	Married-civ-spouse	Tech-support	Husband	White	Male	United-States	52	152373	10	5013	0	40
0	Private	HS-grad	Never-married	Other-service	Unmarried	Black	Female	Haiti	42	227968	9	0	0	28
0	Private	Some-college	Never-married	Sales	Not-in-family	White	Female	United-States	26	362617	10	0	0	40
0	Private	HS-grad	Married-civ-spouse	Transport-moving	Husband	White	Male	United-States	31	103435	9	0	0	40
0	Local-gov	HS-grad	Never-married	Other-service	Own-child	White	Female	United-States	25	281412	9	0	0	35
0	Self-emp-not-inc	HS-grad	Married-civ-spouse	Craft-repair	Husband	White	Male	United-States	55	105239	9	0	2057	60
0	Private	Some-college	Never-married	Other-service	Own-child	White	Female	United-States	19	230165	10	0	0	12
0	Self-emp-not-inc	Some-college	Married-civ-spouse	Transport-moving	Husband	White	Male	United-States	62	177493	10	0	0	32
0	Federal-gov	Some-college	Never-married	Adm-clerical	Own-child	White	Female	United-States	22	104443	10	0	0	20
0	?	HS-grad	Married-civ-spouse	?	Wife	White	Female	United-States	39	110342	9	0	0	50
0	Private	HS-grad	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	United-States	35	143385	9	0	0	40
0	Private	HS-grad	Married-civ-spouse	Sales	Own-child	White	Female	United-States	28	107189	9	0	0	40
1	Private	HS-grad	Married-civ-spouse	Transport-moving	Husband	White	Male	United-States	47	212944	9	0	0	70
0	State-gov	HS-grad	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	United-States	44	138634	9	0	0	40
0	Private	Some-college	Never-married	Sales	Own-child	White	Male	United-States	21	99970	10	0	0	15
0	Private	Assoc-voc	Never-married	Craft-repair	Not-in-family	White	Male	United-States	35	203717	11	0	0	50
1	Private	Bachelors	Married-civ-spouse	Prof-specialty	Husband	White	Male	United-States	24	313956	13	0	0	40
0	Federal-gov	Bachelors	Never-married	Prof-specialty	Not-in-family	White	Male	?	42	177937	13	0	0	40
