Sentiment	SentimentText
1	  ==READ THIS== This is Wikipedia. It is a place where people come for infomation. So tell me how it is that a guy wants to check John Cena's recent activity in the WWE can't because SOME people want to keep the page unedited. It is not worth my time to try to bring new infomation to a page every month or two if you NERDS just change it back. THERE IS NO POINT WHATSOEVER! If I want to put what happened at Backlash I WILL BLODDY WELL PUT WHAT HAPPENED AT BACKLASH! Don't any of you nerds try and stop me!   
0	"  == Administrator Complaint Filed Against You ==  I requested that you do not edit the article until the editor assistance has been sought. But you still added and the tag you added is fault because this is a professionally written article, besides the last section there is nothing about the article having a fan flavor to it. Before you add the add again please do show which section besides the ""What Ram's Fan's have to say about him"" seems written from a fan point of view. This article besides the last section adheres to the Wikpedia standard of writing. IF not please first prove it in my notes. As for the resource the technical person on the team is in the process of adding the refernce link to the source after which we will remove that tag as well.   Once again please do not add false tags, lets wait for the editor and the administrator, I did tell the administrator to look at the history and have provided your notes to him. So at this time, just have patience and lets wait.  I am  also forwarding this to the administrator from whom I have requested help. Like I said before, as adminstrator came to the page and made the necessary changes, she did not find the article sub-standard, so please refrain from adding tags.    "
1	  It is a shame what people are here, I am disgusting of you.
0	  :Hello Cielomobile. I have to say that I also belive that the edits made recently to the United States-Mexico barrier page were not vandalism. I understand that the topic of the border can be polemic, but I don't think that User:68.2.242.165 was vandalizing the page. Maybe you could use the talk page Talk:United States–Mexico barrier to lay out your objections to those edits without deleting them entirely. I think they were good-faith efforts to improve the article, and that is also one of the guiding principles of Wikipedia, to Assume Good Faith. It might help though, if the author of those edits were to register with Wikipedia so the edits won't appear merely with an IP address.  
0	"  == my removal of your content on DNA melting ==  I removed the content you placed when creating the article because it was wrong and unreferenced. Mutations do not have ""weird structures""  a point mutation might start with a single nucleotide mismatch, but those are rapidly detected and repaired to form a stable bonded double-helix structure, and subsequent rounds of DNA replication match each base with its complement. Perhaps your wording was wrong, perhaps you were thinking of an obscure related technology that I have heard of, but you didn't give a reference and I'm not going to help you with this, because you're being rude. I find it disturbing that you apparently made this scientific page on wikipedia claiming a statement of fact that was in merely based on your own speculations.  "
1	wiki shold dye!they should be ashame!j
1	 I suggest you kill yourself.  
1	 Yes, I was blocked for losing patience with you, and what I did then would constitute personal attack. Honest outspoken criticism that is based on fact is permitted though, and the shameless hate speech expressed here deserves more than just vocal criticism. As for you, I'll discuss you elsewhere. This isn't the place for that.     
0	  Get yourself some help.  
1	  == regarding threats ==  is not revert of person's edits, only unwarranted edit by bot. appeal has been made to bot but presumption of guilt on part of administrative base is sign of censorship so made edits again to see if reversion would occur second time. has not. please keep baseless threats to self, vulgar pedant.
1	   Alright, your lack of fact checking and denial of truth is pathetic, especially by your staff.   Stop making comments, just to harass me.   You are assuming I'm everyone who doesn't agree with your wiki article. Pathetic.   I will continue to report them until your competent employees do the right thing.
1	  Telling that you wouldn't answer my question. You are a hypocrit as anyone can see  
1	  == YOUR INFORMATIONS ARE MISLEADING AND FULL OF ERRORS.  ==  YOUR INFORMATIONS ARE MISLEADING AND FULL OF ERRORS. IF THIS IS THE WAY YOU SERVE PEOPLE, I PITY THEM FOR BEING BRAINWASHED WITH LIES OF YOU.
0	 AND I EVEN PUT A LINK TO A HIGHLIGHTS VIDEO ON YOUTUBE
0	  Wind in the Sahara rawks, too.  Much more accessible than 7 pillars.
1	 ::Excellent, thanks for looking into it. Some socks are quite dumb...   
1	 Hypocrit! you just cited a newspaper that claims to be reliable. i will incorporate and make a newspaper company then ill site it. its called TEADRINKERNEWS.com this site has no merit and you have no integrity!
1	  == Conflict of interest ==  You are a person who is doing some sort of harm to this lady Saman Hasnain.. It is apparent that you are making sure that her name is defamed.... Okay no problem... Will get a better source... you are playing dirty... DOG Sonisona 
1	REALLY REALLY ANGRY NOW GRRRRRRRRRRRR
0	"  ::I also found use of the word ""humanists"" confusing.  The types of people listed preceding ""humanists"" are defined by what they *do* (i.e. study, teach, do medical research) which makes sense in the context of talking about the commonplace book as one of their tools.  ""Humanists"" defines people of a certain ethical ideologywhat does that have to do with the function of a commonplace book?  Is the use of a commonplace book particularly defined by one's world perspective?  To me this would be akin to writing ""many blogs are maintained by writers, professors, lawyers, editorialists, and Republicans/Democrats"" in an article about blogs.  True though it may be, it confuses the reader into thinking that the subject being written about is somehow ideologically specific when it is not."
1	 :the category was unnecesary, as explained in my edit summary. Your threats are disgrace to wikipedia. 
1	  == I hate you. ==  I hate you. I hate you!
0	"  ==Drovers' Award== Better you hear it from me, and early, I suppose:  The Wikipedia logo is ""All Rights Reserved, Wikimedia Foundation, Inc."", and use of it is governed by the Wikimedia visual identity guidelines, which states that ""no derivative of the Wikimedia logo can be published without prior approval from the Foundation.""   "
0	"    Please stop. If you continue to vandalize Wikipedia, you will be blocked from editing.   |  "
0	  == removing a deletion review?!? ==  WP:SNOW doesn't apply to my deletion review since the issue is controversial.  
0	  Oooooh thank you Mr. DietLimeCola. Once again, nice job trying to pretend you have some authority over anybody here. You are a wannabe admin, which is even sadder than a real admin  
1	Grow up you biased child.  
0	 :Saved without renaming; marked for rapid del.  
1	 ==Terrible== Anyone else agree this list is garbage? 
1	  == DON'T INTERFERE! ==  Look, I am telling you: YOU DON'T INTERFERE between me and Ohnoitsjamie. He is a filthy hog, an oldest enemy, and i can go to any extent to insult him to the fullest extent. So be a good boy, and eat potato crisps (Yummy... yummy ... munch crunch. -  
0	"  :Going by immediate place of origin is much more in keeping with the definition of ""Hispanic or Latino"". You're acting in good faith, obviously, but claiming every Hispanic/Latino person based on ancestry is too OR, too subjective, as can be seen from all that explaining you've had to do. There is a way to include these people we're discussing: with the support of reliable sources that refer to them as Hispanic or Latino, something that ideally should be done for everyone on the list.   "
1	  == Pathetic ==  This user needs a life
0	See the section below about the Macedonian last names, and common endings of the Macedonian last names, as well some common endings of the last names in the Slavic Languages.    
0	"Hauskalainen|Tom]]   RFC Response The ""criticism"" section reads like a POV essay without adequate references. I have added the appropriate tag. [[User:"
1	  And, frankly, you are just as pathetic and immature, clearly these acts of annoyance are your favourite past time.
1	  She's insane and a zealot.
0	"  : I know you listed your English as on the ""level 2"", but don't worry, you seem to be doing nicely otherwise, judging by the same page - so don't be taken aback. I just wanted to know if you were aware of what you wrote, and think it's an interesting case. : I would write that sentence simply as ""Theoretically I am an altruist, but only by word, not by my actions."". : PS. You can reply to me on this same page, as I have it on my watchlist.  "
1	  == A bit of education for you... ==  Here is the link to Bay Lake, Florida.  Now, what was that you were saying about it NOT being a city?   Educate yourself a bit before you make such ludicrous ignorant comments   
1	  He is a CHEATER, and the article should say that.   
1	" :: a.k.a.  (among others) can't even get the air dates right, and the rest is a POV that is well-covered in the interesting book I cited, Hollywood Kryptonite. ""These"" users also cannot write proper English, which is what gives away that ""they"" are the same user, despite ""their"" denials.   ==Reply to vandal Wakkeenah== To all the vandals and so called just administrators, the air dates are minor problems, the facts and details surrounding Reeves suicided are not being written well enough, as everybody else is reporting, the fact that Reeves was to fight Moore next day, is also being reverted, this is pure vandalism. As far as spelling goes by Vesa or Projects or whoever, well, if you keep on repeating yourself and have no time, some spelling errors might occur, but it's not the spelling that counts but content which is being vandalised by so called just users and administrators of this so called just wikipedia. And it is obvious wahkeenah has some personal interest in this, proof: All over internet we have Reeves' death explained in detail and possible people involved, but over here he is taking everything down, the idiotic administratotors are reversing it, thus making themselves look stupid and ignorant by not realizing the historical facts."
1	  == Ridiculous == It's absolutely RIDICULOUS how long and detailed this article is.  This is why Wikipedia is laughed at and why teachers won't allow Wikipedia to be used in schoolwork  1)the |diots writing this article are trying to demonize certain groups and 2) they're trying to revise the facts of the incident to make it seem something that it wasn't.
0	  ::I agree. Trolling snitches should be protected. Where are these days when crybabies just haven't been payed attention to ? Eh, I'm waxing nostalgic.... 
0	 ==Fixed== Hi, I fixed up the Religion in Vietnam lead with atheism as state religion first as per your request, please take a look. The disparity in the pie chart seems mainly caused by that US institute counting 45% ancestor worship and traditional beliefs as religion, wheras officially that 45% are non-believers. It's a bit of a grey area...  Second question: What do you think is better title chữ nho or chữ Hán? To my mind chữ Hán can still include Japanese and Chinese, but chữ nho is clearly Vietnamese-only, and is what Lonely Planet uses. Do you have any view? Cheers!   
1	  ::You should be ashamed of yourself for wasting adults' time, you ridiculous runt.    
1	   Good god, you wiped out my post just now. You can't even speak in coherent sentences.  Bascially, you've been busted.
0	  ::::I've explained beneath your unblock request that I do not feel comfortable with your proclamation. You indicated that you did not realize Banglapedia was a copyrighted source. This source bears copyright notice on every page. How can we be certain, given that, that you will not copy from other copyrighted sources without noticing that they cannot be used? I myself do not feel comfortable unblocking you until you promise not to copy from any source that you cannot prove to be without copyright restriction.   
1	 : Good grief have you nothing useful to do with your time? Oh well, I'll add you to the list. Fool   
1	   SOMETHING AWFUL IS DEAD DEAD DEAD DEAD DEAD
0	"  == To the contributors of the article ==    Anonymiss Madchen has given you a cookie! Cookies promote WikiLove and hopefully this one has made your day better. You can Spread the ""WikiLove"" by giving someone else a cookie, whether it be someone you have had disagreements with in the past or a good friend.      To spread the goodness of cookies, you can add  to someone's talk page with a friendly message, or eat this cookie on the giver's talk page with !      Thank you for your hard work, and sorry about rough times in the past.  I'm going to go edit other articles now.  : "
1	  == get a life loser. ==  get a life loser.
1	 :::::Actually, you are the cockroach that followed me to the notice board, and repeatedly comes back to revert what I had written. FYI. 206.45.24.242 (talk) 
1	 I believe your actions to be pure vandalism either based on pig ignorant, racism or because you are being paid to do so. But if no one else agrees enjoy. It's more likely no one else cares either way you will reduce this to a stub or start supporting your own prejudices here. It's only wiki grow up son. This is not a conversation. The promise was a ban without farther notice so please don't give me any more notice you pathetic stooge
1	  You are one of the worst page vandals I have ever seen. Your repeated vandalism of a user page shows what a pathetically insecure individual you are.
0	"  :::I think the apple pie image is pretty dated.  The expression ""as American as apple pie"" is dated and baseball's no longer the most popular sport in the US (football is).  Plus, it's sort of weird having them on the flag.  - "
1	ME  IF YOU PROTECT THIS PAGE I'M GONNA KILL YOUR USER PAGE TOMORROW MORNING
0	"  :::Ok, whatever, but if this separate Frankish province existed as such, then I still believe that it should be included as separate entry into disambiguation page, but I can live with the current version of the page as well.   "
1	  Why are you threatening me, buddy?  I didn't do anything to you!   And like I care about editing Wikipedia.  Loser.
0	  == April 2009 ==  Please do not attack other editors. If you continue, you will be blocked from editing Wikipedia.     :If this is a shared IP address, and you didn't make any unconstructive edits, consider creating an account for yourself so you can avoid further irrelevant warnings.
1	"  == HOW DARE YOU, HOW DARE YOU KUBIGULA, HOW  DARE YOU!!!!!!!!!!!! ==  HOW DARE YOU DELETE BRILLIANT ARTICLE ON NILLIAM ""THE PHENOMENA"" TOWNSIRIS  I CAN SENSE A PRESENCE ABOUT YOU BOY, AN EVIL PRESENCE, MAY THE FORCE FROM THE SPIRIT OF A SEAHORSE UNLEASH THE EXPECTO PATRONUM UPON YOU, YOU MUST EXPRESS KINDNESS TO NILLIAM TOWNSIRIS, FOR HE IS OUR SAVIOUR, THE ANSWER TO OUR ULLILOQUITY. IF YOU AS SO MUCH BLINK WHEN READING THE NEXT ARTICLE, THEN YOU WILL JUST MISS OUT THERE TIGER."
1	, 16 August 2008 (UTC)  *I'm terribly disappointed by this.  There are enough disagreeable people on wikipedia.  I sincerely hope you change your mind again and retire, again.  You suck.   14:23
1	  == Blind as bats ==  Not one of you has seen what I have done to this page. Obviously you rely on some form of program to revert vandalism and not your own eyes.
1	  == You are just Jealous ==  that you aren't a part of the GAYTOURAGE... you probably don't even now how to WERQ it!  Megna James
0	 I hope this helps.
0	" ::I did provide a notable source for the references I was providinga book written by a respected journalist from a patient's perspective. I created a separate article for it, with tons of references, and merely put a reference to it under See Also. You deleted even that because it's allegedly an ""obscure anti-psychiatry book."" The fact is that you are biased because you have vested interests to protect. It is people like you who make sure the truth never becomes known because it would endanger your pocketbook.   "
0	 ==Hello== I just wanted to let you know how you can be a nicer person through therapy and talking about your past experiences that led you to be an angry antisocial person today.
1	  Yes, and this page is wayyyyy too long as well. It really needs to be condensed heavily. There are much more important shows that don't have a tenth of what this article has. Shame.  
0	"==  Inclusion of school type, gender, and religious information for HNMCS ==  There have been repeated deletions by Mikeycanuck (aka 99.254.17.230) which remove pertinent information about Holy Name of Mary College School (HNMCS) from this article. The two schools are brother and sister schools, and as per the History section in the HNMCS article, ""The Felician Sisters and St. Michael's College School co-founded the independent Holy Name of Mary College School"". As such, it is appropriate to contain some basic information about HNMCS in this article and in the same way, to include some basic information about SMCS in the Holy Name of Mary College School article. The inclusion of the school type (independent), gender (all-girls), and religious information (Catholic) of Holy Name of Mary College School in this article, is meant to illustrate the parallels to the school type (private), gender (all-boys), and religious information (Catholic) of St. Michael's College School.    I don't agree that it is relevant information to give these details about Holy Name on the SMCS wiki. People reading the SMCS page quickly learn that Holy Name of Mary is the official sister school, and that it must be an all-girls school. That Holy Name is Catholic or private is also irrelavant in the SMCS article. If a reader interested in information on Holy Name wants to learn about it, he/she can go to the Holy Name wiki. I believe it should be removed as not necessary in an article about SMCS (and the same for St. Mike's info on the HNMCS wiki).  — Preceding unsigned comment added by      The point of including this basic information is to show how Holy Name of Mary College School and St. Michael's College School are connected by virtue of their school type, single-gender, and religious affiliation. The inclusion of this basic information is included to illustrate the parallels between the two schools.  These parallels are part of the reason they are brother and sister schools, and therefore this information is relevant and should be included in the article.     They are two separate institutions. If you want to write a paragraph describing the schools' connections, that can be done in sub-article within the main article. Readers can go to the other school's wiki for more detailed information and don't need to see it in the introduction, where it appears as self-serving PR. See Basic Navigation in Wikipedia  ""Wikipedia articles are all linked, or cross-referenced. When highlighted text like this is seen, it means there is a link to some relevant article or Wikipedia page with further in-depth information elsewhere. Holding the mouse over the link will often show to where the link will lead. The reader is always one click away from more information on any point that has a link attached.""http://en.wikipedia.org/wiki/Wikipedia:About    So if understand correctly, the inclusion of a section on each wiki describing the links between the schools is an acceptable compromise in your view?     I only ask Mikeycanuck for clarification because it goes against his reasoning for removing the very basic information previously included in the introduction that drew the parallels between the two schools. In removing that content, Mikeycanuck commented (see View History), ""Removed superfluous information on Holy Name. Should be in HNM's wiki.""  So Mikeycanuck, you are adverse to very basic information included in the introduction, but you would welcome an entire paragraph within the article?  I want to ensure we have reached agreement before I go ahead and add that paragraph.     The detailed information does not belong in the introduction, which should always be concise and relevant. In a later section, a description of the school's links is acceptable, if it is relevant. If SMCS chose Holy Name as its ""sister school"" for certain reasons, and they are verifiable, I would not object. I am never opposed to compromise and reasonable discussion and discourse.     I never
0	  ==Image copyright problem with Image:KissBOTI.jpg==   Thank you for uploading Image:KissBOTI.jpg. However, it currently is missing information on its copyright status. Wikipedia takes copyright very seriously. It may be deleted soon, unless we can determine the license and the source of the image. If you know this information, then you can add a copyright tag to the image description page.  If you have any questions, please feel free to ask them at the media copyright questions page. Thanks again for your cooperation.   
0	Thanx efe, i noticed you remove 800 bytes of info on my watchlist so i went into red alert but it was a good call.     
0	  == Woah! ==  As someone who'd been the victim of his power abuse, this *really* came as a surprise to me when someone e-mailed this info to me this morning! Sorry he couldn't be more adult with his admin powers, but as Stan Lee said over four decades ago, with great power comes great responsibility.   Of course, the big question now is who Matthew Fenton will run and hide behind when he gets his head handed to him over his wanton edits of the Jericho and Lost pages. 
0	"  == Newsletter ==  Thanks Indon. I tried to hide it until the delivery day, hehehhe. Have you seen it before? If not, then I have done a somewhat good job of hiding it P. Cheers   "
0	  == List of Malcolm in the Middle characters ==  Your addition to List of Malcolm in the Middle characters was excellent. Welcome!   
1	  OH MY just CALL THEM ROCK YOU IDIOTS!!!!
1	"  ::::::::: I am not user 168.209.97.34. On what basis are you acusing me of being that user? Please answer the very simple question: Is the phrase ""anti-Islamic cut and past [sic] troll"" a personal attack or is  it not a personal attack?  Do you deem this to be acceptable language on Wikipedia? Pename"
0	 :You did a great job in the Bailando por un sueño (Argentina) article. Congratulations!
0	  : Saw your message on my homepage.  Is there some reason you don't like my solution? —  3 July 2005 05:18 (UTC)
1	  HHHHHHHHHHHHHHAAAAAAHAHA      you're funny.. Na seriously dude. I'm reallyyyyyyy drunknnnk but ya're funny!
1	  dont u speak to me like that id advise u to watch ur mouth!!  
1	" :You call MacDonald's a part of your ""culture""? Nonsense! Spend some 10 years in France, and then you will have a hint of what Culture is!   "
1	" ::""Somebody, go write one.""  Do it yourself lazy.  "
0	  Please do not make personal attacks. Wikipedia has a strict policy against personal attacks. Attack pages and images are not tolerated by Wikipedia and are speedily deleted. Users who continue to create or repost such pages and images, especially those in violation of our biographies of living persons policy, will be blocked from editing Wikipedia. Thank you.   
0	Thanks for your response in this matter. Our plan worke like a charm. We finally got the article negativity under control and then got it protected!     
1	"  ::This is ridiculous. ::Aside from the reference not actually calling it a war crime, saying that ""some"" characterize it as one doesn't make it one. ::War crimes are serious violations of the laws of war.  The key words here are ""laws"" and ""war.""  Unless one lives in a corrupt town, laws are made by legislatures, or in this case ratified by them, after being written and argued over by diplomats in consultation with their military's generals.  The laws of war were written with the understanding that killing large numbers of people may be a legitimate and necessary part of that process.  The laws of war were not written by corrupt and ignorant peaceniks sitting around dreaming up what they think would be moral. ::I'm deleting this section.  It's not salvageable. ::   "
1	  == Who he really is ==  This poor guy had his IP stolen by me. Pwned! Too bad his ISP will permban him.
0	   == POV issue ==  This article does not tell about the laws that require boards of directors, typical officers on a board, typical educations, experiences, contacts, etc. of board members.  There is also nothing about the history of the concept of boards of directors.  Almost the entire article is devoted to pointing out the alleged shortcomings of boards, and none of the statements have sources to verify them.  I'm tagging this article as POV until these issues are resolved.   
1	  I'm Not vandalizing. You refuse my evidence on the talk area. You seem to be blind in your support of a Racist who calls for violence.
1	I'm not the deranged harrasser here.  You and yours are.  Project your personality onto someone else.     
0	   Please refrain from making unconstructive edits to Wikipedia, as you did to Meat grinder. Your edits appear to constitute vandalism and have been reverted. If you would like to experiment, please use the sandbox. Thank you. cab (talk)  :Don't you mean: 'If you would like to experiment, please use a condom. Thank you.'
0	" :Nothing wrong with that portrait, but she was queen for 22 years, mostly as an adult. It's great for the section on her childhood. Haven't hade time to look at your English yet and help you with that, if needed. I don't see why you only took this as criticism, question my ""goal"" and got so grumpy. Of course all your positive input to improve the article is appreciated by everyone, including me. I have tried to do my bit earlier.   "
0	 ::Thanks for the tip! I've been looking at the mediation thing a bit already - and suspect you may be correct that a wholesale revert may be the answer...  
1	  Only a complete loser writes a Wiki profile about themself!  5 July 2005 21:21 (UTC)
1	    MY CHANGES DO NOT AFFECT ANY OF THE CONCOCTED OFFENSES YOU HAVE BROUGHT UP!   WP:NPOV issues / synthesis    WP:Verifiable    WP:OR   I want to bring your OWN STANCE, as being pro orthodox which in itself is BIASED!  i am again going to put the changes back on, BECAUSE I believe your STANCE IS TO PROTECT THE CURRENT SINGH SABHA ideological stance on sikhism, WHICH MEANS that wikipedia ONLY ACCEPTS ORTHODOX POV and NOT unorthodox! Which means going by your OWN judgment, that the CHRISTIAN UNORTHODOX CHURCH, which exist, on real life and on wiki, HAS NO merit!  THAT IS A BIASED APPROACH!
1	  == HiDrNick ==  Present for you fatty. Relax. don't get too excited, it's not a 5000 Rhino meal. [] []
0	 ==Unblock==   Blocking me will not solve anything. I meant what I called that person and I shall not take it back. Today he allows himself to deleate all of our images, tommorow all of articles, then he calls us second class people. Shame on you for giving such users admin rights. See my messages on Wikipedia:Requests for comment/Lupo   
1	  == you know? ==  I already finish the main temple structure. whatever you say, arrogant guy. 
0	 Waaaaahh erase comments on this page too, do you really think anybody is reading this? Are you that insecure?
0	  == Wikipedia:Counter Un-civility Unit ==  Wikipedia:Counter Un-civility Unit is a new wiki-project I have thought up. I was wondering if you thought it was a good idea and if you wanted to join up. I need some users backing me before I construct a wikiproject, and you seem to share my views on subjects such as concensus, civilty, etc. Reply on my talkpage if you're interested. Thanks, -MegamanZero|Talk 
0	I am refering to List of Chinese languages and dialects.   
0	"A rough google tally: *AIDS denialist 13,100 hits *Big Tobacco denialist/ Big Tobacco denialism 0 hits *Holocaust denialist 486 hits *Holocaust denier 306,000 hits  So there are 486 hits on Holocaust denialists who are getting some personal gain from their denailism, but 306,000 google hits on Holocaust deniers who are not getting personal gain from their denialism? Is that what you maintain? And ""Big Tobacco denialism"" actually gets 0 google hits because it is so well known those denialists are doing it for personal gain? And so on and so forth. This is ludicrous. Give it up.    "
0	"  == Taken from Bell X1 External Links section == Bell X1 Flock Album Review at WERS.org • "
1	  == Goodbye Cruel World ==  I have decided to kill myself.  My Dad died two weeks ago, and I wish to join him.  I just wanted to say goodbye.
0	"  ==Kobe Tai==  A proposed deletion template has been added to the article Kobe Tai, suggesting that it be deleted according to the proposed deletion process. All contributions are appreciated, but this article may not satisfy Wikipedia's criteria for inclusion, and the deletion notice should explain why (see also ""What Wikipedia is not"" and Wikipedia's deletion policy).  You may prevent the proposed deletion by removing the  notice, but please explain why you disagree with the proposed deletion in your edit summary or on its talk page. Also, please consider improving the article to address the issues raised. Even though removing the deletion notice will prevent deletion through the proposed deletion process, the article may still be deleted if it matches any of the speedy deletion criteria or it can be sent to Articles for Deletion, where it may be deleted if consensus to delete is reached. If you agree with the deletion of the article, and you are the only person who has made substantial edits to the page, please add  to the top of Kobe Tai.  '''''' * "
1	 Yeah thanks to however did that because now the stupid fish guy can get off on stupid information Wrestlinglover420
1	  Pss Rex, be sure to DOCUMENT all the things you've discovered  on the John Kerry page etc.  It's awesome that you and I INDEPENDENTLY observed (and can corrorborate) virtually the exactsame  pattern by these liberals. Demonizing conservatives; lionizing liberals. It's repeated ad infinitum, ad nauseum.  The more proof we have, the easier it will be to persuade all but their fellow brain-dead truth haters to give a red cent to Wikipedia. And, until WHOLESALE changes are made from the top down, that's exactly what's about to happen. It's almost like this is the liberal's religion. Too bad they're gonna have to find a church other than Wikipedia to practice their faith, huh?  I've heard rumors that my actions are already sending users Hippocrite, Fred Bauder, WoohooKitty, Kizzle, FVW, Derex and especially the pimply faced 15 year old RedWolf  to become so verklempt they don't know whether to schedule an appointement with their psychiatrist...or their gynecologist.  Big Daddy- PHASE II Dry up the funding  (on the road)
1	 Your ignorant comments   Before acting as a functional illiterate, you should have read the pertinent prior discussion already took place in the talk page on the removed content which has no place in a biography. By the way, how is your boyfriend Bertil Videt doing? I read sensational stuff on his talk page which he keeps hiding. Did you get to meet with his other boyfriends yet?   
1	. I'm afraid to say that if anyone agreed with your interpretation on what denotes a comment or remark by one to be an insult, well I'd have to say that you're all stark raving, bloody mad!
0	  === Age of Modern Humans ===  The article says the age of modern humans is 200 thousands years which is unsourced material obviously becausee no one knows.  However the source provided says 130,000 years.  So how old are humans?  200 thousand years old, 130 years old, or the millions of other numbers that science has claimed?   
1	  It wasn't a personal attack. If your grasp of english is so poor you shouldn't be attempting to censor people.
0	 :::*Generic fair use rationales are, by definition, impossible.  
1	" :That isnt going to work, and you dont seem stupid enough to think that it will. '''''' - "
1	 ::: Get off your high horse, or block me.   
1	  You're very unreasonable and bored, sick person! If you have no reason to delete an article without knowing or seeing the full content. Hold your horses and then decide. If you have an e-mail address I'd like to debate this with you. -Wikipedia Supervisor!
0	" ::The problem is not only with the sections concerning ""Controversy about media coverage"", the major problem is that many major points about the Greek debt crisis are missing in the lead and the article, even though it consists of >100 pages. This is addressed in  ::* section #4 - "">100 pages, but still main points missing?"" ::* section #5 - "" Why did Greece need fiscal austerity in the midst of its crisis? "" ::* section #6 -  "" POV / LEAD debate "" ::Two weeks ago, I proposed in this section #4 to have the main points at least in summary style in the lead (as important ones are not even in the article) ::Just let's only take the first point listed in #4, being joining the Euro without sufficient financial convergence and competitiveness in the summary list of causes for the Greek debt crisis. It is the major single and early root cause for the Greek debt crisis. Without this root cause Greece could technically not have had this debt crisis because it could always have printed itself out of every debt volume as they did before with the drachma. But this cause is missing in the 100 WP pages and in the WP lead. The current lead only lists normal problems like ""structural weaknesses"" and ""recessions""  (even though it is clear that Greece faced those normal problems for decades and always solved them with high drachma inflation if needed) - so without naming the root cause there is no cause for the Greek debt crisis. ::What happened after I proposed to have the main points in the article (at least in the lead as a summary) and also invited everybody to add/change/delete from my proposed the main point list? There were strong opponents working in a coordinated action, threatening to fight any significant change, saying one can not summarize a Greek debt crisis, saying ""Greek interests [need to have] a prominence"") when describing the debt crisis in WP, saying they will not let other editors summarize it, and so on. So we have almost 100 new pages in the talk section, and main points about the lemma not in the article (like it was during the last 5 years) ::  "
1	 | decline=Nobody on Wikipedia wants your moronic edits! Take a hike!   
