ID	Area	Title	Description
29322	area-System.Runtime	Remove hashtable & friends compiled files from System.Runtime.Extensions	This commit needs to be reverted when the new uapaot build (that contains the hashtable changes) is ingested: https://github.com/dotnet/corefx/commit/2e34bf9d93e23c2fdf978e457543b95906226721.    cc @jkotas
29321	area-System.Xml	[System.Private.Xml.Linq] Rename FunctionalTests classes	It allows to fix build issues and makes easier import System.Private.Xml.Linq tests to Mono (https://github.com/mono/mono/issues/8122).
29320	area-System.Collections	Test failure: System.Collections.Concurrent.Tests.PartitionerStaticTests/TestStaticPartitioningArray	Opened on behalf of @Sunny-pu  The test `System.Collections.Concurrent.Tests.PartitionerStaticTests/TestStaticPartitioningArray` has failed.  System.AggregateException : One or more errors occurred. (Assert.Throws() Failure\r     Expected: typeof(System.InvalidOperationException)\r     Actual:   typeof(System.Exception): Cannot create a file when that file already exists. (Exception from HRESULT: 0x800700B7))\r     ---- Assert.Throws() Failure\r     Expected: typeof(System.InvalidOperationException)\r     Actual:   typeof(System.Exception): Cannot create a file when that file already exists. (Exception from HRESULT: 0x800700B7)          Stack Trace:             at System.Threading.Tasks.Task.WaitAllCore(Task[] tasks, Int32 millisecondsTimeout, CancellationToken cancellationToken)        at System.Collections.Concurrent.Tests.PartitionerStaticTests.TestPartitioningCore(Int32 dataSize, Int32 partitionCount, Int32[] data, Boolean staticPartitioning, IEnumerator`1[] partitions) in E:\A\_work\4\s\corefx\src\System.Collections.Concurrent\tests\PartitionerStaticTests.cs:line 288        at System.Collections.Concurrent.Tests.PartitionerStaticTests.RunTestWithAlgorithm(Int32 dataSize, Int32 partitionCount, Int32 algorithm) in E:\A\_work\4\s\corefx\src\System.Collections.Concurrent\tests\PartitionerStaticTests.cs:line 186        at System.Collections.Concurrent.Tests.PartitionerStaticTests.TestStaticPartitioningArray() in E:\A\_work\4\s\corefx\src\System.Collections.Concurrent\tests\PartitionerStaticTests.cs:line 29     ----- Inner Stack Trace -----        at Windows.ApplicationModel.Resources.Core.ResourceContext.Clone()        at System.Resources.WindowsRuntimeResourceManager.Initialize(String libpath, String reswFilename, PRIExceptionInfo& exceptionInfo) in E:\A\_work\4\s\corefx\src\System.Runtime.WindowsRuntime\src\System\Resources\WindowsRuntimeResourceManager.cs:line 401        at System.Resources.ResourceManager.SetAppXConfiguration()        at System.Resources.ResourceManager..ctor(Type resourceSource)        at System.SR.get_ResourceManager() in E:\A\_work\4\s\corefx\src\Common\src\System\SR.cs:line 15        at System.SR.GetResourceString(String resourceKey, String defaultString) in E:\A\_work\4\s\corefx\src\Common\src\System\SR.cs:line 27        at System.Collections.Concurrent.Partitioner.StaticIndexRangePartitionForArray`1.get_Current() in E:\A\_work\4\s\corefx\src\System.Collections.Concurrent\src\System\Collections\Concurrent\PartitionerStatic.cs:line 1614        at System.Collections.Concurrent.Tests.PartitionerStaticTests.<>c__DisplayClass11_1.<TestPartitioningCore>b__1() in E:\A\_work\4\s\corefx\src\System.Collections.Concurrent\tests\PartitionerStaticTests.cs:line 253 Build : Master - 20180425.01 (UWP F5 Tests) Failing configurations: - Windows.10.Amd64.ClientRS3-x64   - Release  Details: https://mc.dot.net/#/product/netcore/master/source/official~2Fcorefx~2Fmaster~2F/type/test~2Ffunctional~2Fuwp~2F/build/20180425.01/workItem/System.Collections.Concurrent.Tests/analysis/xunit/System.Collections.Concurrent.Tests.PartitionerStaticTests~2FTestStaticPartitioningArray
29319	area-System.Runtime	Cleanup some System.Runtime.WindowsRuntime.* dependencies on CoreLib internals	Contributes to https://github.com/dotnet/coreclr/issues/17768
29318	area-System.Net	Bug in HttpWebRequest when call an endpoint that returns 302	"@mrquake commented on [Mon Apr 23 2018](https://github.com/dotnet/core/issues/1473)  # Issue Title    When you call an endpoint that returns 302 the redirection url will have backslashes instead of forward slashes in ""localpath"".    # General    For example when you call Azure API using Fiddler or any other web debugging tool: ""https://management.azure.com/subscriptions/xxx-xxx-xxx-xxxx/providers/Microsoft.Commerce/RateCard"" with property parameters, token, etc...    It will return 302 and redirect to: https://ratecard.blob.core.windows.net/ratecards/xxxx-xxxx-xxxxx-xxxxx/MS-AZR-0017P/USD/en-US/False/2015-06-01-preview/yyyy-yyyyy-yyyyy-yyyyy.json    No problem whatsoever...    But when you make the request using .NET Core 1.1/2.0 HttpWebRequest...   The redirection tries to call something like that:    https://ratecard.blob.core.windows.net/ratecards/xxxx-xxxx-xxxx-xxxxx%5CMS-AZR-0017P%5CUSD%5Cen-US%5CFalse/2015-06-01-preview/yyyy-yyyy-yyyy-yyyy-yyyy.json    With encoded backslashes instead of forward slashes....   "
29317	area-System.Net	Re-enable the SocketsHttpHandler microbenchmarks	"The perf tests were wholesale disabled due to port exhaustion errors.  Those errors are just coming from the ""connectionPerRequest"" tests, which are inherently flawed in this regard, so I've just deleted them.    Closes #29308  cc: @jorive, @geoffkizer  "
29316	area-System.Threading	Test that AsyncLocal<class> changed event is not raised multiple times for one change in value	- Depends on and tests https://github.com/dotnet/coreclr/pull/17767  - Tests for and closes https://github.com/dotnet/coreclr/issues/17758
29315	area-System.IO	Added Filters Property to FileSystemWatcher class	Fixes https://github.com/dotnet/corefx/issues/29273    This property will help to use multiple filters for FileSystemWatcher.  The tests are built against netstandard, so have to add the tests to new files with .netcoreapp.    @JeremyKuhne  should I need to copy all the tests for all the operations like DirectoryChanged, DIrectoryDelete etc,. Currently I have just added a test for CreateDirectory Operation.  
29314	area-Infrastructure	Update the Release Notes link for NuGet packages to point to .NET Core 2.1	Currently, the release notes link in the published packages point to [.NET Core 2.0.4](https://go.microsoft.com/fwlink/?LinkID=799421):  https://github.com/dotnet/corefx/blob/a985f20d1a04d49ad086e3ef066565d05701cdaa/Packaging.props#L14    For example, see the preview2 System.Memory package which links to old release notes:  https://www.nuget.org/packages/System.Memory/4.5.0-preview2-26406-04    We should update it to point to the .NET Core 2.1 release notes (once they are a available). We have preview1/preview2 notes at the moment in:  https://github.com/dotnet/core/tree/master/release-notes/2.1    cc @ericstj, @joshfree, @weshaggard, @leecow, @danmosemsft, @karelz  
29313	area-System.Security	Keep SSL error queue clean	Closing #29244 that covered only X509 and tracking all required changes in this issue. The APIs listed below were selected after a scrub of the CryptoNative_* APIs by me and @bartonjs.    [EDIT 1: Removing deadcode ones, will address later]    /cc @karelz      - [ ] CryptoNative_Asn1OctetStringNew => single call, needs ERR_clear_error   - [ ] CryptoNative_Asn1OctetStringSet => single call, needs ERR_clear_error   - [ ] CryptoNative_BigNumFromBinary => single call, missing clean up check calltree but likely clear on call site Cleanup (only reports OOM)   - [ ] CryptoNative_BioNewFile => handful of calls, need to check call tree for AddCachedCrl, DownloadAndAddCrl, and LoadMachineStores   - [ ] CryptoNative_BioRead => all call sites protected but some taking only last error (perhaps we should ensure queue is clear)   - [ ] CryptoNative_BioSeek => ops, I missed two locations of this one in previous change   - [ ] CryptoNative_BioTell => debug assert but no clean up in case of error   - [ ] CryptoNative_BioWrite => Some calls not fully protected, other only last error   - [ ] CryptoNative_CreateMemoryBio => some calls not cleaned, need to check call tree Cleanup (only reports OOM)   - [ ] CryptoNative_DecodeAsn1TypeBytes => single call, needs ERR_clear_error   - [ ] CryptoNative_DecodeX509Crl => single location, missing clean up at usage, check caller   - [ ] CryptoNative_DecodeX509Name => single location, missing clean up at usage, check caller   - [ ] CryptoNative_DsaKeyCreateByExplicitParameters => error on managed side is handled, but potential errors in SetDsaParameter on native are not (Needs native cleanup)   - [ ] CryptoNative_DsaVerify => single call not protected on the caller, need to check calltree (probably only theoretical)   - [ ] CryptoNative_EcDsaSize => two locations need to check for 0 return and throw in such cases Cleanup (only reports OOM)   - [ ] CryptoNative_EcDsaVerify => single call, needs clear error, double-check call tree but seems simple (probably only theoretical)   - [ ] CryptoNative_EcKeyCreateByExplicitParameters => 3 calls, relatively large native code, seems covered on managed side need to check if native can return success but leave errors on queue. #if   HAVE_OPENSSL_EC2M check seems wrong (if char2 was requested and no char2 is present it passes to GFp and hopes that fails).  No check that G, gxBn, gyBn, orderBn, cofactorBn didn't fail (which might produce an error and continue-with-bad-data)   (Needs native cleanup)   - [ ] CryptoNative_EcKeyCreateByOid => 2 calls (plus a handful in tests), needs error clean up   - [ ] CryptoNative_EncodeAsn1Integer => single location, assert checks no error but for safety error needs to be cleaned in OpenSslEncode   src\Common\src\Interop\Unix\System.Security.Cryptography.Native\Interop.Encode.cs (probably only theoretical)   - [ ] CryptoNative_EncodePkcs12 => single call, 2nd parameter of OpenSslEncode, not covered (probably only theoretical)   - [ ] CryptoNative_EncodePkcs7 => single call, 2nd parameter of OpenSslEncode, not covered (probably only theoretical)   - [ ] CryptoNative_EncodeX509 => single location, assert checks no error but for safety error needs to be cleaned in OpenSslEncode   src\Common\src\Interop\Unix\System.Security.Cryptography.Native\Interop.Encode.cs (probably only theoretical)   - [ ] CryptoNative_EncodeX509SubjectPublicKeyInfo => single location, assert checks no error but for safety error needs to be cleaned in OpenSslEncode   src\Common\src\Interop\Unix\System.Security.Cryptography.Native\Interop.Encode.cs (probably only theoretical)   - [ ] CryptoNative_GetDsaParameters => doesn't seem to touch ERR_, single call, throws exception, should clean up the queue   - [ ] CryptoNative_GetObjectDefinitionByName => calls other natives, error clean-up can be made on native side   - [ ] CryptoNative_GetRsaParameters => single call, throws CryptographicException, needs error cleanup   - [ ] CryptoNative_GetSslConnectionInfo => single call, will be covered if CreateSslException cleans up the error queue   - [ ] CryptoNative_LookupFriendlyNameByOid => single call, protected on managed but logic on native indicates that it may leave errors on the queue   - [ ] CryptoNative_ObjSn2Nid => single call, there is CryptographicException but needs error clean up   - [ ] CryptoNative_ObjTxt2Obj => single call, being covered by same change to cover Asn1OctetStringNew (prototype of tactical change)   - [ ] CryptoNative_PemReadBioX509Crl => two locations, need to check from callers, likely need clean up   - [ ] CryptoNative_PemWriteBioX509Crl => single call, return code not checked, add clean up   - [ ] CryptoNative_RsaVerify => single call, in VerifyHash seems to need to clear error before return   - [ ] CryptoNative_SetEncryptionPolicy => single call, missing clean up   - [ ] CryptoNative_SetProtocolOptions => 2 calls, doesn't check return but it seems function doesn't log error, need to double check   - [ ] CryptoNative_SetRsaParameters => single call, it seems to only set fields, likely doesn't log error, need to double check   - [ ] CryptoNative_SslAddExtraChainCert => single call, not cleared, per docs SSL_CTX_add_extra_chain_cert can leave error on queue   - [ ] CryptoNative_SslCtxCheckPrivateKey => single call, will be protected by fixing CreateSslException   - [ ] CryptoNative_SslCtxCreate => single call, will be protected by fixing CreateSslException   - [ ] CryptoNative_SslCtxSetAlpnProtos => single call, will be protected by fixing CreateSslException   - [ ] CryptoNative_SslCtxUseCertificate => single call, will be protected by fixing CreateSslException,  but likely doesn't set errors anyway   - [ ] CryptoNative_SslCtxUsePrivateKey => single call, will be protected by fixing CreateSslException   - [ ] CryptoNative_SslSessionReused => single call, call log error per docs, may need specific clean up   - [ ] CryptoNative_SslSetTlsExtHostName => single call, docs not clear, return value ignored, for safety we should clean up error queue   - [ ] CryptoNative_X509ExtensionCreateByObj => single call not covered, caller FormatNative in src\System.Security.Cryptography.Encoding\src\Internal\Cryptography\OpenSslAsnFormatter.cs   - [ ] CryptoNative_X509IssuerNameHash => single call returns hash, likely doesn't log errorif we pass valid argument, https://github.com/dotnet/corefx/issues/28724   - [ ] CryptoNative_X509V3ExtPrint => single call not covered, caller FormatNative in src\System.Security.Cryptography.Encoding\src\Internal\Cryptography\OpenSslAsnFormatter.cs   - [ ] CryptoNative_X509VerifyCert => 2 calls one not covered in VerifyCertChain in src\System.Net.Http\src\System\Net\Http\CurlHandler\CurlHandler.SslProvider.Linux.cs  
29311	area-Infrastructure	"Removing initialization of ""AgentToolsPath"""	The agent pool will have the environment variable defined.
