Instance	Label	Score	Probability	Log-loss	Assigned
201	1	6.527492	0.998539448	0.0021086717260796447	1
202	0	-5.107146	0.00601691334	0.0087067913827365544	0
203	0	-3.47622561	0.0299963076	0.043937855788646223	0
204	0	-5.107146	0.00601691334	0.0087067913827365544	0
205	1	7.70050764	0.9995476	0.00065282183921750911	1
206	1	4.67605925	0.99077034	0.013377414660687179	1
207	0	-5.14151335	0.005814822	0.0084135000328251115	0
208	0	-5.14151335	0.005814822	0.0084135000328251115	0
209	0	-3.51059318	0.02901232	0.042475105039181671	0
210	1	9.360731	0.999914	0.00012409081916882317	1
211	1	6.666055	0.9987282	0.0018359646338536582	1
212	0	-5.107146	0.00601691334	0.0087067913827365544	0
213	1	9.860785	0.999947846	7.524437191943599E-05	1
214	1	9.439966	0.999920547	0.00011463099074793362	1
215	1	5.082147	0.9938317	0.0089265435110315351	1
216	0	-5.327016	0.00483505568	0.0069924288920724343	0
217	0	-5.107146	0.00601691334	0.0087067913827365544	0
218	1	4.926501	0.992800355	0.010424463609816298	1
219	0	-2.60899162	0.06856197	0.10246830907970945	0
220	0	-4.937751	0.00711965561	0.010308231066659455	0
221	1	6.85946226	0.9989516	0.0015132948203176683	1
222	1	-2.381301	0.0846097544	3.5630321932194371	0
223	1	3.47821	0.970061362	0.04385208619609858	1
224	1	6.64171076	0.9986969	0.0018811682762579034	1
225	0	-5.327016	0.00483505568	0.0069924288920724343	0
226	1	6.934528	0.9990274	0.0014038892905505404	1
227	1	5.10630751	0.9939781	0.0087140536661204672	1
228	0	-5.14151335	0.005814822	0.0084135000328251115	0
229	1	8.971457	0.999873042	0.00018317315105363359	1
230	1	3.687736	0.97558254	0.035664156382178618	1
231	1	5.464934	0.995785236	0.006093468909052999	1
232	0	0.387140751	0.5955942	1.3061245037640643	1
233	1	4.22282743	0.9855546	0.020992330945643928	1
234	0	-2.79013348	0.0578596778	0.085986144354393876	0
235	0				
236	1	7.198673	0.999253	0.0010781320275837761	1
237	1	4.24964952	0.9859315	0.020440656601130012	1
238	1	7.93097258	0.9996407	0.00051844885378563097	1
239	1	3.83668661	0.9788903	0.030780902889271836	1
240	0	-2.19500065	0.100200333	0.15232426140724376	0
241	0	-3.9872632	0.0182125624	0.026517388019392348	0
242	0	-4.69941568	0.009018519	0.013069997580773615	0
243	0	-3.249302	0.03735198	0.054919704696939887	0
244	0	-5.107146	0.00601691334	0.0087067913827365544	0
245	0	-2.95230484	0.04962769	0.073435294714946073	0
246	1	8.043116	0.9996788	0.00046348169408102081	1
247	1	2.170814	0.8975978	0.15585897141376154	1
248	0	-3.01326466	0.0468302034	0.069194857755858583	0
249	0				
250	0	-5.133764	0.005859794	0.0084787621145538308	0
251	1	5.4693675	0.9958038	0.0060666126630314994	1
252	0	2.521253	0.925618351	3.7489094481346643	1
253	1	5.60796976	0.9963449	0.0052828205055256471	1
254	1	4.977695	0.9931572	0.0099059932451818454	1
255	1	2.88893843	0.9472969	0.078111405015206858	1
256	0	-4.73142624	0.008736885	0.01266004645418743	0
257	0	-4.51155567	0.0108620832	0.015756402974357524	0
258	0	-4.29168558	0.0134971775	0.019604916230060426	0
259	0	2.1097064	0.891843	3.2088013332856837	1
260	1	6.257836	0.9980883	0.0027606393789533401	1
261	1	7.292852	0.9993201	0.00098123666340888612	1
262	1	6.76904249	0.998852551	0.0016563694874908131	1
263	1	5.79084158	0.9969539	0.0044012934743941322	1
264	1	2.95629168	0.950560033	0.073150350664735256	1
265	0	-2.612832	0.06831712	0.10208911563408592	0
266	1	5.5756917	0.9962255	0.0054557896677197371	1
267	1	1.26803923	0.7804069	0.35770157547115156	1
268	1	5.44075346	0.9956825	0.0062423531155204881	1
269	0	-5.107146	0.00601691334	0.0087067913827365544	0
270	1	4.37592745	0.9875797	0.018030908269587521	1
271	0	-3.47622561	0.0299963076	0.043937855788646223	0
272	1	1.26803923	0.7804069	0.35770157547115156	1
273	1	-0.341918468	0.415343523	1.2676230380461255	0
274	0	-4.11754751	0.01602347	0.023304190486054636	0
275	0				
276	0	-4.51155567	0.0108620832	0.015756402974357524	0
277	0	-5.327016	0.00483505568	0.0069924288920724343	0
278	0	-5.107146	0.00601691334	0.0087067913827365544	0
279	1	4.097956	0.9836647	0.023761476908942716	1
280	0	-4.29168558	0.0134971775	0.019604916230060426	0
281	0	-4.53002071	0.0106654745	0.015469670227781259	0
282	1	1.996923	0.8804736	0.18364832524118266	1
283	1	4.240045	0.985797644	0.020636562328140585	1
284	1	4.824742	0.9920353	0.011536594679705742	1
285	1	9.134752	0.9998922	0.00015556669483020414	1
286	1	9.797089	0.9999444	8.0232137548237069E-05	1
287	0	-4.477188	0.0112376073	0.016304223157164469	0
288	1	0.88483	0.707822144	0.49854119807938629	1
289	1	5.13687468	0.9941583	0.0084524642023233402	1
290	0	-5.54688644	0.00388443237	0.005614963867042919	0
291	0	-5.107146	0.00601691334	0.0087067913827365544	0
292	1				
293	1	3.96790457	0.981438041	0.027030903251222888	1
294	0				
295	1	4.55162954	0.9895601	0.015140724489837425	1
296	0	0.6700988	0.661525249	1.5628798789895393	1
297	0				
298	0	-2.40630245	0.08269336	0.12452401321321592	0
299	1	4.497334	0.988984048	0.015980843395464565	1
300	1	4.62145948	0.990257442	0.014124456553393392	1
301	0	-5.107146	0.00601691334	0.0087067913827365544	0
302	1	9.91415	0.9999505	7.1374565638709995E-05	1
303	0	-5.107146	0.00601691334	0.0087067913827365544	0
304	1	3.73149633	0.976603568	0.034155046637781621	1
305	1	6.11657667	0.99779886	0.0031790737348906936	1
306	0	-5.107146	0.00601691334	0.0087067913827365544	0
307	0	-5.107146	0.00601691334	0.0087067913827365544	0
308	1	4.190829	0.985091865	0.021669825048806154	1
309	0	-2.43384218	0.0806281939	0.12127967046080784	0
310	0	-4.884918	0.007503021	0.010865384017248509	0
311	0	-5.54688644	0.00388443237	0.005614963867042919	0
312	1	1.84912252	0.864024043	0.21085663625525078	1
313	0	-5.54688644	0.00388443237	0.005614963867042919	0
314	0	-5.36138344	0.004672473	0.0067567510712633252	0
315	0				
316	1	2.20764112	0.900933564	0.15050737158003294	1
317	1	5.890983	0.997243345	0.0039825045312741787	1
318	0	-5.00404263	0.006666029	0.0096492437155483984	0
319	0	0.6469283	0.656317949	1.540853588056835	1
320	1	3.99139547	0.9818612	0.026409039376297374	1
321	0				
322	0	-4.29168558	0.0134971775	0.019604916230060426	0
323	1	3.157802	0.959215045	0.060073807756361522	1
324	0	-5.107146	0.00601691334	0.0087067913827365544	0
325	0	-3.75015688	0.0229738485	0.033530916394208618	0
326	1	2.71531248	0.937924147	0.092456843440621342	1
327	0	-5.327016	0.00483505568	0.0069924288920724343	0
328	1	2.79449224	0.942377448	0.085623080262285586	1
329	1	4.942796	0.9929159	0.010256527050499903	1
330	1	3.80173445	0.9781558	0.031863832062599434	1
331	0	-3.39409018	0.032480672	0.047637612825586394	0
332	0	-2.93943977	0.050238	0.074362057317472988	0
333	1	2.89723349	0.9477095	0.077483193988251167	1
334	1	4.210768	0.9853819	0.021245121305248051	1
335	0	-5.54688644	0.00388443237	0.005614963867042919	0
336	1	3.551641	0.972121954	0.040790781732381737	1
337	0	-5.107146	0.00601691334	0.0087067913827365544	0
338	0	-5.36138344	0.004672473	0.0067567510712633252	0
339	1	3.83591223	0.978874266	0.030804533582097664	1
340	1	4.329574	0.986998141	0.018880727778079552	1
341	0	-5.107146	0.00601691334	0.0087067913827365544	0
342	0	-5.13915634	0.00582846347	0.0084332958699167727	0
343	0	-5.54688644	0.00388443237	0.005614963867042919	0
344	1	5.77682734	0.996911049	0.0044633114790595075	1
345	0	-5.54688644	0.00388443237	0.005614963867042919	0
346	0	-2.95080471	0.04969849	0.073542774041832515	0
347	0	-5.232978	0.00530926837	0.0076800609843101896	0
348	1	-1.07638454	0.254190832	1.9760160957147952	0
349	1	1.70271826	0.845889449	0.24145896774617276	1
350	0	-3.57717657	0.02719431	0.039776427639483594	0
351	0	-4.69941568	0.009018519	0.013069997580773615	0
352	0	-0.5123253	0.374648571	0.67726092532513027	0
353	1	5.21508169	0.9945954	0.007818323948434203	1
354	0	-5.327016	0.00483505568	0.0069924288920724343	0
355	0	-3.89532	0.0199315213	0.029045539049898445	0
356	1	-1.3940134	0.198767811	2.3308439525957341	0
357	1	7.74981737	0.999569356	0.00062142114135353168	1
358	1	3.876268	0.9796929	0.02959854487062882	1
359	1	3.37870455	0.9670323	0.048363996781532949	1
360	1	9.04565048	0.9998821	0.00017010086917542444	1
361	1	3.357059	0.966335237	0.049404325191207583	1
362	0	-3.32064629	0.0348696522	0.051204293060670834	0
363	0	-1.98601151	0.120679468	0.18553893889978026	0
364	0	-4.69941568	0.009018519	0.013069997580773615	0
365	0	-4.919286	0.00725137955	0.010499643937654568	0
366	1	8.510639	0.9997987	0.00029042193573552982	1
367	1	7.06488848	0.999146163	0.0012323519252557568	1
368	0	-5.087383	0.00613627164	0.0088800417842077196	0
369	0	-4.90188	0.00737776235	0.010683319285503763	0
370	0	-3.47296453	0.0300913379	0.044079202104671485	0
371	0	-5.087383	0.00613627164	0.0088800417842077196	0
372	0	-3.874074	0.0203508064	0.029662873497674963	0
373	0	-3.526701	0.0285619814	0.041806145503550635	0
374	0	-4.281804	0.0136293843	0.019798272915656116	0
375	0	-5.54688644	0.00388443237	0.005614963867042919	0
376	0	-5.327016	0.00483505568	0.0069924288920724343	0
377	0	-5.36138344	0.004672473	0.0067567510712633252	0
378	0	-3.79486513	0.021991441	0.032081004009610593	0
379	0	-2.35149336	0.08694714	0.13122971418261301	0
380	0	-5.54688644	0.00388443237	0.005614963867042919	0
381	1	6.390079	0.9983247	0.0024189850223248527	1
382	0	-3.53503	0.02833179	0.041464325989751298	0
383	0	-5.13915634	0.00582846347	0.0084332958699167727	0
384	0	-5.13915634	0.00582846347	0.0084332958699167727	0
385	0	-3.59276056	0.0267850626	0.039169631259184746	0
386	1	3.81385	0.9784132	0.031484191443078118	1
387	0	-2.44621754	0.0797155946	0.1198483133033353	0
388	0	-4.74514771	0.00861884747	0.012488263359382924	0
389	0	-3.13306427	0.0417638049	0.061546785932917999	0
390	0	-5.157621	0.00572244124	0.008279449596028084	0
391	1	7.23040152	0.9992763	0.0010444846760080903	1
392	0	-4.51155567	0.0108620832	0.015756402974357524	0
393	0	-5.581254	0.00375369424	0.0054256255173670727	0
394	0	-4.68414164	0.009156055	0.013270239533366745	0
395	0	-4.51155567	0.0108620832	0.015756402974357524	0
396	0	-4.29168558	0.0134971775	0.019604916230060426	0
397	0	-4.323696	0.0130775282	0.018991337425302936	0
398	0	-4.154047	0.0154580437	0.022475406884340236	0
399	0	-4.904012	0.007362162	0.010660645970013208	0
400	1	5.199409	0.9945105	0.0079415327127642169	1
401	0	-4.73142624	0.008736885	0.01266004645418743	0
402	0	-2.86985064	0.0536642373	0.079575948009041109	0
403	0	-3.66784954	0.024895696	0.036371546938783784	0
404	0	-4.850588	0.00776304072	0.01124339851120801	0
405	0	-5.327016	0.00483505568	0.0069924288920724343	0
406	0	-3.69070315	0.0243468862	0.035559795418515297	0
407	0	-5.327016	0.00483505568	0.0069924288920724343	0
408	0	-3.57900143	0.0271460768	0.039704898382857935	0
409	0	-4.281804	0.0136293843	0.019798272915656116	0
410	0	-5.327016	0.00483505568	0.0069924288920724343	0
411	0				
412	1	6.193191	0.997960865	0.0029448527311883681	1
413	0	-3.24647379	0.0374538042	0.055072312735252281	0
414	1	4.55400229	0.9895846	0.015105009633995839	1
415	0	-1.408246	0.196510851	0.31564955492284491	0
416	1	5.652324	0.996502936	0.0050540393639361934	1
417	0	-5.327016	0.00483505568	0.0069924288920724343	0
418	0	-2.28290844	0.0925484	0.1401073978265707	0
419	0	-4.669312	0.009291577	0.013467577141194932	0
420	0	-2.83072186	0.0556864254	0.082662085539172009	0
421	1	8.03606	0.9996765	0.00046675041809418643	1
422	0	-2.70943356	0.0624189936	0.092984751018757208	0
423	0	-3.23659229	0.0378116742	0.055608799500037949	0
424	0	-4.73142624	0.008736885	0.01266004645418743	0
425	1	9.969362	0.9999532	6.7504769738112899E-05	1
426	0	-2.400466	0.08313717	0.12522218280255193	0
427	1	3.05509329	0.9550019	0.066424505569193118	1
428	0	-5.327016	0.00483505568	0.0069924288920724343	0
429	0	-4.919286	0.00725137955	0.010499643937654568	0
430	0	-4.786136	0.008275581	0.011988814989542752	0
431	0	-2.89456272	0.0524230041	0.077684919786997972	0
432	0	-3.52195787	0.028693879	0.042002041659590345	0
433	0	-3.979514	0.0183516461	0.026721780120878415	0
434	0	3.433353	0.9687308	4.9991142173638243	1
435	1	5.578626	0.996236444	0.0054399074029472701	1
436	1	3.41709471	0.968234539	0.04657153570058703	1
437	0	-4.323696	0.0130775282	0.018991337425302936	0
438	0	-3.52540278	0.0285980236	0.041859673204993751	0
439	0	-3.91596651	0.01953218	0.028457813688805029	0
440	1	5.89515448	0.9972548	0.0039659486526755668	1
441	0	-1.93108225	0.126630843	0.19533651107327812	0
442	0	-4.49904537	0.0109973205	0.015953665248218101	0
443	0	-5.192361	0.005528137	0.0079975421403820478	0
444	0	-2.81475353	0.05653211	0.083954678488321263	0
445	0	-5.13915634	0.00582846347	0.0084332958699167727	0
446	0	-5.54688644	0.00388443237	0.005614963867042919	0
447	0	-3.91596651	0.01953218	0.028457813688805029	0
448	0	-5.581254	0.00375369424	0.0054256255173670727	0
449	1	6.64257574	0.998698056	0.001879532310211754	1
450	0	-3.79940367	0.0218940377	0.03193732810465811	0
451	0	-3.91596651	0.01953218	0.028457813688805029	0
452	0	-4.3926363	0.01221698	0.017733925370952405	0
453	1	4.866422	0.992357969	0.011067462830707775	1
454	0	-4.738047	0.008679731	0.012576865815759251	0
455	1	0.390571117	0.596420169	0.74559904946197375	1
456	1	6.84792662	0.998939455	0.0015308555679131393	1
457	1	5.668409	0.996558547	0.0049735301500093585	1
458	0	-3.68621469	0.0244537331	0.035717798249187409	0
459	0	-3.45646286	0.0305767059	0.044801345752418509	0
460	0	-3.57717657	0.02719431	0.039776427639483594	0
461	0	-3.313324	0.0351169147	0.051573952940203831	0
462	0	-3.16944647	0.0403318331	0.0593924564235256	0
463	0	-4.149558	0.01552651	0.022575737043997273	0
464	0	-4.323696	0.0130775282	0.018991337425302936	0
465	1	6.466067	0.998447061	0.0022421594126064773	1
466	1	6.42095137	0.998375535	0.0023455132015603748	1
467	1	4.76647139	0.9915615	0.012225878963263955	1
468	0	-4.323696	0.0130775282	0.018991337425302936	0
469	0	-5.09726429	0.006076301	0.008792990860403067	0
470	0	-4.545923	0.0104989745	0.015226892391752322	0
471	0	-3.16944647	0.0403318331	0.0593924564235256	0
472	0	-3.542604	0.0281240251	0.041155877559423577	0
473	0	-4.323696	0.0130775282	0.018991337425302936	0
474	0	-3.91596651	0.01953218	0.028457813688805029	0
475	0	-4.73142624	0.008736885	0.01266004645418743	0
476	0	-4.09394455	0.0163998939	0.023856204345445241	0
477	0	-4.323696	0.0130775282	0.018991337425302936	0
478	0	-3.73259544	0.0233713537	0.034117999480847989	0
479	1	5.138206	0.994166	0.0084413061827443951	1
480	0	-3.950334	0.01888477	0.027505507717661276	0
481	0	-2.81128836	0.0567172132	0.08423775358183308	0
482	1	8.935955	0.999868453	0.00018979533904735731	1
483	1	7.313333	0.999333858	0.00096135928924734641	1
484	0	-3.68621469	0.0244537331	0.035717798249187409	0
485	0	-4.533413	0.01062974	0.015417560901319535	0
486	0	-4.545923	0.0104989745	0.015226892391752322	0
487	1	8.56118	0.999808669	0.0002760585647452056	1
488	1	0.104811668	0.526178956	0.92637454428486055	1
489	1	-1.15418673	0.239725187	2.0605465970053949	0
490	0	-5.54688644	0.00388443237	0.005614963867042919	0
491	1	4.25814962	0.986048937	0.020268846671592334	1
492	0	-4.138193	0.0157011878	0.022831741239946548	0
493	1	6.53293276	0.9985474	0.0020972181967179784	1
494	0	-0.45495224	0.388183981	0.70883021425905457	0
495	0	-4.545923	0.0104989745	0.015226892391752322	0
496	0	-5.581254	0.00375369424	0.0054256255173670727	0
497	0	-4.14032555	0.0156682655	0.02278348762401013	0
498	0	-4.10382557	0.0162412636	0.023623552162962799	0
499	0	-4.10382557	0.0162412636	0.023623552162962799	0
500	0	-3.06849575	0.044425644	0.065559957020197429	0
501	0	-4.10382557	0.0162412636	0.023623552162962799	0
502	0	-3.93443084	0.0191816948	0.02794219036547986	0
503	0	-3.88395548	0.0201547332	0.029374152252344635	0
504	0	-5.54688644	0.00388443237	0.005614963867042919	0
505	0	-4.36468458	0.0125589333	0.018233448366242588	0
506	1	6.51121473	0.998515546	0.0021432050980713067	1
507	0	-4.48330975	0.0111697912	0.01620527661570683	0
508	0	-3.91596651	0.01953218	0.028457813688805029	0
509	0	-5.13915634	0.00582846347	0.0084332958699167727	0
510	0	-5.54688644	0.00388443237	0.005614963867042919	0
